"targets","ingest","layer","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
" AO  status AO  trend",TRUE,"ao_sust","Artisanal fisheries sustainability","Score based on the amount of sustainably and unsustainably caught artisanal fisheries, based on B/Bmsy values.","score","scaled 0-1","ao_sust.csv","rgn_id",,,"year","score",,TRUE,2001,2019,0.343141881112276,1,TRUE,,,,220,FALSE
" spatial",TRUE,"rgn_area","Region areas based on EEZ boundaries","Area of Ocean Health Index regions modified from exclusive economic zones, weights used to calculate global score","area_km2","km2","rgn_area.csv","rgn_id",,,,"area_km2",,TRUE,,,13,31886958,FALSE,,,,220,FALSE
" spatial",TRUE,"rgn_global","OHI region id","Subset of regions that are not deleted or disputed","label","label","rgn_global.csv","rgn_id",,,,,"label",TRUE,,,,,FALSE,,,,220,
" spatial",TRUE,"rgn_labels","Regions","Regions by type (eez, subocean, unclaimed)","label","label","rgn_labels.csv","rgn_id",,"type",,,"label",TRUE,,,,,FALSE,,,,220,
" spatial",TRUE,"uninhabited","Uninhabited regions","Regions with low and no number of inhabitants (also identifies Southern Islands)","Inhabited","population","uninhabited.csv","rgn_id",,"rgn_nam",,"inhabited",,TRUE,,,0,1,TRUE,"southern_island,est_population",,,220,FALSE
" weighting",TRUE,"element_wts_cp_km2_x_protection","Coastal protection weights","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland), saltmarsh, sea ice (shoreline), and seagrass (empty dataframe filled by functions.R in ohi-global)","extent_rank","extent*rank_protection","element_wts_cp_km2_x_protection.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,,,,,FALSE,,,,220,TRUE
" weighting",TRUE,"element_wts_cs_km2_x_storage","Carbon storage weights","Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass  (empty dataframe filled by functions.R in ohi-global)","extent_rank","extent*carbon_storage","element_wts_cs_km2_x_storage.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,,,,,FALSE,,,,220,TRUE
" weighting",TRUE,"element_wts_hab_pres_abs","Habitat presence/absence","List of habitats in each region (empty dataframe filled by functions.R in ohi-global)","boolean","0 or 1","element_wts_hab_pres_abs.csv","rgn_id",,"habitat",,"boolean",,TRUE,,,,,FALSE,,,,220,TRUE
"AO",TRUE,"ao_access","Artisanal fisheries opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small-scale fishing sector","value","scaled 0-1","ao_access.csv","rgn_id",,,"year","value",,TRUE,2018,2022,0.2,1,TRUE,,,,220,FALSE
"AO",TRUE,"ao_need","Economic need for artisanal fishing","Inverse of per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP as a proxy for subsistence fishing need","value","scaled 0-1","ao_need.csv","rgn_id",,,"year","value",,TRUE,2005,2021,0.0101272696349097,1,TRUE,,,,220,FALSE
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",TRUE,"ss_spi","Weakness of social progress","Inverse of Social Progress Index scores","pressure_score","scaled 0-1","ss_spi.csv","rgn_id",,,"year","pressure_score",,TRUE,2011,2022,0.091508331298828,0.72500833272934,TRUE,,,,220,FALSE
"AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",TRUE,"ss_wgi","Weakness of governance","Inverse of World Governance Indicators (WGI) six combined scores","pressure_score","scaled 0-1","ss_wgi.csv","rgn_id",,,"year","pressure_score",,TRUE,1996,2021,0.110639683405558,0.982170184453328,TRUE,,,,220,FALSE
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"hd_intertidal","Intertidal habitat destruction","Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction","pressure_score","scaled 0-1","hd_intertidal.csv","rgn_id",,,"year","pressure_score",,TRUE,2000,2020,0,1,TRUE,,,,220,FALSE
"AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"sp_alien","Nonindigenous species","Measure of harmful invasive species","pressure_score","scaled 0-1","sp_alien.csv","rgn_id",,,"year","pressure_score",,TRUE,2022,2022,0.00020746887966805,0.949170124481328,TRUE,,,,220,FALSE
"AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",TRUE,"hd_subtidal_hb","Subtidal hardbottom habitat destruction","Presence of blast fishing as an estimate of subtidal hard bottom habitat destruction","score","scaled 0-1","hd_subtidal_hb.csv","rgn_id",,,"year","score",,TRUE,2012,2012,0.006865108,0.874460499,TRUE,,,,220,FALSE
