layer,variable,variable_data
ao_access,file_loc_2017,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a_gf.csv
ao_need,file_loc_2017,ohiprep:globalprep/ao/v2017/output/wb_gdppcppp_rescaled_gf.csv
cc_acid,file_loc_2017,ohiprep:globalprep/prs_oa/v2015/output/acid_eez_2014_gf.csv
cc_slr,file_loc_2017,ohiprep:globalprep/prs_slr/v2015/data/slr_eez_2015_gf.csv
cc_sst,file_loc_2017,ohiprep:globalprep/prs_sst/v2015/data/sst_eez_2015_gf.csv
cc_uv,file_loc_2017,ohiprep:globalprep/prs_uv/v2015/data/uv_eez_2015_gf.csv
cntry_rgn,file_loc_2017,NA
cw_chemical_trend,file_loc_2017,ohiprep:globalprep/prs_chem/v2015/output/cw_pesticide_trend_2015_gf.csv
cw_nutrient_trend,file_loc_2017,ohiprep:globalprep/prs_land-based_nutrient/v2015/output/cw_fertilizer_trend_2015_gf.csv
cw_pathogen_trend,file_loc_2017,ohiprep:globalprep/prs_cw_pathogen/v2015/data/pathogens_popdensity25mi_trend_2015a_gf.csv
cw_trash_trend,file_loc_2017,ohiprep:globalprep/cw_trend_trash/v2016/output/cw_trash_trend_gf.csv
element_wts_cp_km2_x_protection,file_loc_2017,NA
element_wts_cs_km2_x_storage,file_loc_2017,NA
element_wts_hab_pres_abs,file_loc_2017,NA
fis_b_bmsy,file_loc_2017,ohi-global:eez/temp/FIS_summary_gf.csv
fis_meancatch,file_loc_2017,NA
fp_art_hb,file_loc_2017,ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data/blast_poison_3nm_gf.csv
fp_art_lb,file_loc_2017,ohiprep:globalprep/prs_fish/v2017/output/art_gf.csv
fp_com_hb,file_loc_2017,ohiprep:globalprep/prs_fish/v2017/output/hb_gf.csv
fp_com_lb,file_loc_2017,ohiprep:globalprep/prs_fish/v2017/output/lb_gf.csv
fp_habitat,file_loc_2017,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a_gf.csv
fp_mora,file_loc_2017,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_2013a_gf.csv
fp_mora_artisanal,file_loc_2017,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a_gf.csv
fp_mpa_coast,file_loc_2017,ohiprep:globalprep/lsp/v2017/output/mpa_3nm_updated_gf.csv
fp_mpa_eez,file_loc_2017,ohiprep:globalprep/lsp/v2017/output/mpa_eez_updated_resilience_gf.csv
fp_targetharvest,file_loc_2017,ohiprep:globalprep/prs_targetedharvest/v2017/output/fao_targeted_gf.csv
fp_wildcaught_weight,file_loc_2017,ohiprep:globalprep/fp/v2017/output/wildcaught_weight_gf.csv
g_cites,file_loc_2017,ohiprep:globalprep/res_cites_signatories/v2017/output/cites_gf.csv
g_mariculture,file_loc_2017,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_mariculture_2013a_gf.csv
g_msi_gov,file_loc_2017,ohiprep:globalprep/res_mariculture_sustainability/v2013/r_msi_gov_2013a_gf.csv
