"targets","layer","layer_old","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"CW","cw_chemical_trend","rn_cw_chemical_trend","Pesticide consumption as a proxy for trend in chemical pollution","shipping as a proxy for oil pollution: trend assumed to be zero based on status of 0","trend","trend score","cw_chemical_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0,TRUE,,,,19,FALSE
"CW","cw_trash_trend","rn_cw_trash_trend","Coastal human population as a proxy for trend in trash","trash: trend assumed to be zero based on status of 0","trend","trend score","cw_trash_trend.csv","sp_id",,,,"trend",,TRUE,,,0,0,TRUE,,,,19,FALSE
"ECO","eco","rn_eco","crew data for tourism and fisheries","","crew","crew","eco.csv","sp_id",,"sector","year","crew",,TRUE,2005,2013,0,16783.4866300279,FALSE,,,,19,FALSE
"FIS","fis_b_bmsy","fis_b_bmsy","b/bmsy scores","B/Bmsy estimates obtained using the catch-MSY method","b_bmsy","B / B_msy","fis_b_bmsy.csv",,,"taxon_name","year","b_bmsy",,TRUE,1970,2012,0.0466774557214168,1.82414112190987,FALSE,,,,19,FALSE
"FIS","fis_c_cmsy","fis_c_cmsy","c/cmsy scores","C/Cmsy estimates","c_cmsy","C / C_msy","fis_c_cmsy.csv","fao_id",,"taxon_name","year","c_cmsy",,TRUE,2007,2012,0,1.942857143,FALSE,,,,19,FALSE
"FIS","fis_meancatch","fis_meancatch","mean catch","Catch data for each Taxon/CCAMLR region averaged across years (1980-2011)","mean_catch","metric tons","fis_meancatch.csv",,"fao_saup_id","taxon_name_key","year","mean_catch",,TRUE,2006,2012,2e-06,97558.40875,FALSE,,,,19,FALSE
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent (sea ice extent and shoreline)","km2","km^2","hab_extent.csv","sp_id",,"habitat",,"km2",,TRUE,,,25830.2696078431,1749712.12622549,FALSE,,,,19,FALSE
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend (sea ice extent and shoreline)","health","value","hab_health.csv","sp_id",,"habitat",,"health",,TRUE,,,0.873087415490452,1,TRUE,,,,19,FALSE
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend (sea ice extent and shoreline)","trend","trend score","hab_trend.csv","sp_id",,"habitat",,"trend",,TRUE,,,-0.0364283031789188,0.115409854780369,FALSE,,,,19,FALSE
"ICO","ico_status","rn_ico_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species","score","status score","ico_status.csv","sp_id",,,,"score",,TRUE,,,72.3903080366624,84.1036980916707,FALSE,,,,19,FALSE
