"","rgn_id","resilience.score"
"1",14,0
"2",15,0
"3",16,0
"4",20,0
"5",21,0
"6",24,0
"7",25,0
"8",40,0
"9",42,0
"10",50,0
"11",53,0
"12",62,0
"13",66,0
"14",73,0
"15",75,0
"16",76,0
"17",80,0
"18",101,0
"19",102,0
"20",90,1
"21",129,0
"22",130,0
"23",131,0
"24",132,0
"25",133,0
"26",135,0
"27",136,0
"28",137,0
"29",138,0
"30",139,0
"31",143,0
"32",155,0
"33",156,1
"34",162,0
"35",154,1
"36",153,1
"37",163,0
"38",164,0
"39",171,0
"40",172,0
"41",174,0
"42",141,1
"43",145,1
"44",175,0
"45",176,0
"46",177,0
"47",178,0
"48",179,0
"49",227,1
"50",180,0
"51",228,1
"52",181,0
"53",58,1
"54",182,0
"55",57,1
"56",183,0
"57",55,1
"58",184,0
"59",191,0
"60",196,0
"61",203,0
"62",26,1
"63",204,0
"64",205,0
"65",247,1
"66",206,0
"67",207,0
"68",209,0
"69",210,0
"70",148,1
"71",212,0
"72",157,1
"73",214,0
"74",216,0
"75",218,0
"76",222,0
"77",223,0
"78",144,1
"79",105,1
"80",224,0
