layer,category,category_type,subcategory,weight
species_diversity_eez,ecological,ecosystem,ecological,1
species_diversity_3nm,ecological,ecosystem,ecological,1
fp_mpa_coast,ecological,regulatory,fishing_pressure,1
fp_mpa_eez,ecological,regulatory,fishing_pressure,1
fp_fish_management,ecological,regulatory,fishing_pressure,1
hd_mpa_coast,ecological,regulatory,habitat_destruction,1
hd_mpa_eez,ecological,regulatory,habitat_destruction,1
li_gci,social,social,social,1
li_sector_evenness,social,social,social,1
wgi_all,social,social,social,1
res_spi,social,social,social,1
