layer,updates
ao_access,additonal year of FAO CCRF survey data for small-scale fisheries (2024)
ao_need,changes from previous data but full data year was not added (2023)
ao_sust,"same year of data (2019), but RAM data was updated (2024)"
cc_acid,"Additional year of data from Copernicus Marine (2024)"
cc_slr,none
cc_sst,none
cc_uv,none
cw_chemical_trend,none
cw_nutrient_trend,none
cw_pathogen_trend,corrected coastal population density
cw_trash_trend,none
eco_status,none
eco_trend,none
element_wts_cp_km2_x_protection,none
element_wts_cs_km2_x_storage,none
element_wts_hab_pres_abs,none
fis_b_bmsy,"updated RAM data"
fis_meancatch,none
fp_art_hb,none
fp_art_lb,none
fp_artisanal,none
fp_com_hb,none
fp_com_lb,none
fp_fish_management,none
fp_habitat,none
fp_mpa_coast,additional year of data (2024)
fp_mpa_eez,additional year of data (2024)
fp_targetharvest,additional year of data (2022)
fp_wildcaught_weight,additional year of data for mariculture (2022) but not fisheries (2019)
g_cites,none
g_tourism,none
hab_coral_extent,new global reef extent data from Allen Coral Atlas (2025)
hab_coral_health,new condition status reports from Global Coral Reef Monitoring Network 2020 report (2025)
hab_coral_trend,new trend data from Allen Coral Atlas (2025)
hab_kelp_extent,none
hab_kelp_health,none
hab_kelp_trend,none
hab_mangrove_extent,none
hab_mangrove_health,none
hab_mangrove_trend,none
hab_rockyreef_extent,none
hab_saltmarsh_extent,none
hab_saltmarsh_health,none
hab_saltmarsh_trend,none
hab_seagrass_extent,none
hab_seagrass_health,none
hab_seagrass_trend,none
hab_seaice_extent,additional year of data (2024)
hab_seaice_health,additional year of data (2024)
hab_seaice_trend,additional year of data (2024)
hab_softbottom_health,new datasource
hab_softbottom_trend,new datasource
hab_tidal_flat_extent,none
hab_tidal_flat_health,none
hab_tidal_flat_trend,none
hd_coral,additional year of data (2022)
hd_habitat,none
hd_intertidal,new datasource
hd_mpa_coast,addtional year of data (2024)
hd_mpa_eez,additional year of data (2024)
hd_subtidal_hb,none
hd_subtidal_sb,new data source
ico_spp_iucn_status,additional year of data (2024)
le_sector_weight,none
li_gci,none
li_sector_evenness,none
liv_status,none
liv_trend,none
lsp_prot_area_inland1km,additional year of data (2023)
lsp_prot_area_offshore3nm,additional year of data (2023)
mar_capacity,none
mar_harvest_tonnes,additional year of data (2022)
mar_sustainability_score,none
np_ornamental_sust,additional year of data (2022)
np_fofm_sust,additional year of BBmsy values
np_fofm_weight,none
np_ornamental_weight,additional year of data (2022)
np_seaweed_weight,additional year of data (2022)
np_seaweed_sust,additional year of data
po_chemicals,none
po_chemicals_3nm,none
po_nutrients,none
po_nutrients_3nm,none
po_pathogens,corrected coastal population density
po_trash,none
po_water,none
res_spi,none
rgn_area,none
rgn_area_inland1km,none
rgn_area_offshore3nm,none
rgn_global,none
rgn_labels,none
sp_alien,none
sp_alien_species,none
sp_genetic,additional year of FAO mariculture yield data (2022); escapes data from Monterey Bay Aquarium Seafood Watch Aquaculture Recommendations (2023) was NOT updated
species_diversity_3nm,additional year of data (2024)
species_diversity_eez,additional year of data (2024)
spp_status,additional year of data (2024)
spp_trend,additional year of data (2024)
ss_spi,none
ss_wgi,additional year of data (2022)
tr_arrivals_props_tourism,adding domestic data from the same data source & reworking of code to accommodate a new methodology: (tourism arrivals * (coastal pop per region/total pop per region))/coastal area
tr_sustainability,none
uninhabited,none
wgi_all,additional year of data (2022)
