layer,goal,dimension
ao_access,AO,status
ao_access,AO,trend
ao_need,AO,status
ao_need,AO,trend
ao_sust, AO, status
ao_sust, AO, trend
cc_acid,CP,pressure
cc_acid,CS,pressure
cc_acid,ECO,pressure
cc_acid,HAB,pressure
cc_acid,ICO,pressure
cc_acid,NP,pressure
cc_acid,SPP,pressure
cc_slr,CP,pressure
cc_slr,CS,pressure
cc_slr,ECO,pressure
cc_slr,HAB,pressure
cc_slr,LIV,pressure
cc_slr,LSP,pressure
cc_slr,MAR,pressure
cc_slr,NP,pressure
cc_slr,TR,pressure
cc_sst,CP,pressure
cc_sst,CS,pressure
cc_sst,ECO,pressure
cc_sst,HAB,pressure
cc_sst,ICO,pressure
cc_sst,NP,pressure
cc_sst,SPP,pressure
cc_uv,CP,pressure
cc_uv,HAB,pressure
cc_uv,NP,pressure
cc_uv,SPP,pressure
cw_chemical_trend,CW,trend
cw_nutrient_trend,CW,trend
cw_pathogen_trend,CW,trend
cw_trash_trend,CW,trend
element_wts_cp_km2_x_protection,,weighting
element_wts_cs_km2_x_storage,,weighting
element_wts_hab_pres_abs,,weighting
fis_b_bmsy,FIS,status
fis_b_bmsy,FIS,trend
fis_meancatch,FIS,status
fis_meancatch,FIS,trend
fp_art_hb,AO,pressure
fp_art_hb,ECO,pressure
fp_art_hb,FIS,pressure
fp_art_hb,HAB,pressure
fp_art_hb,ICO,pressure
fp_art_hb,LIV,pressure
fp_art_hb,NP,pressure
fp_art_hb,SPP,pressure
fp_art_lb,ECO,pressure
fp_art_lb,FIS,pressure
fp_art_lb,HAB,pressure
fp_art_lb,LIV,pressure
fp_art_lb,NP,pressure
fp_art_lb,SPP,pressure
fp_com_hb,AO,pressure
fp_com_hb,ECO,pressure
fp_com_hb,FIS,pressure
fp_com_hb,HAB,pressure
fp_com_hb,ICO,pressure
fp_com_hb,LIV,pressure
fp_com_hb,SPP,pressure
fp_com_lb,AO,pressure
fp_com_lb,ECO,pressure
fp_com_lb,FIS,pressure
fp_com_lb,HAB,pressure
fp_com_lb,LIV,pressure
fp_com_lb,NP,pressure
fp_com_lb,SPP,pressure
fp_habitat,AO,resilience
fp_habitat,FIS,resilience
fp_habitat,HAB,resilience
fp_habitat,ICO,resilience
fp_habitat,NP,resilience
fp_habitat,SPP,resilience
fp_fish_management,AO,resilience
fp_fish_management,FIS,resilience
fp_fish_management,HAB,resilience
fp_fish_management,ICO,resilience
fp_fish_management,NP,resilience
fp_fish_management,SPP,resilience
fp_artisanal,FIS,resilience
fp_artisanal,HAB,resilience
fp_artisanal,ICO,resilience
fp_artisanal,NP,resilience
fp_artisanal,SPP,resilience
fp_mpa_coast,AO,resilience
