layer,gf_file
ao_access,globalprep/ao/v2023/output/sdg_14_b_1_ao_gf.csv
ao_sust,globalprep/ao/v2023/output/AO_bbmsy_summary_gf.csv
ao_need,globalprep/ao/v2023/output/wb_gdppcppp_rescaled_gf.csv
cc_acid,globalprep/prs_oa/v2015/output/acid_eez_2014_gf.csv
cc_slr,globalprep/prs_slr/v2023/output/slr_gf.csv
cc_sst,globalprep/prs_sst/v2023/output/sst_eez_2022_gf.csv
cc_uv,globalprep/prs_uv/v2023/data/uv_gf.csv
cw_chemical_trend,globalprep/prs_chem/v2015/output/cw_pesticide_trend_2015_gf.csv
cw_nutrient_trend,NA
cw_pathogen_trend,globalprep/prs_cw_pathogen/v2023/output/po_pathogen_popdensity25mi_trend_gf.csv
cw_trash_trend,globalprep/cw_trend_trash/v2016/output/cw_trash_trend_gf.csv
eco_status,NA
eco_trend,NA
element_wts_cp_km2_x_protection,NA
element_wts_cs_km2_x_storage,NA
element_wts_hab_pres_abs,NA
fis_b_bmsy,globalprep/fis/v2023/output/fis_bbmsy_gf.csv
fis_meancatch,NA
fp_art_hb,globalprep/prs_fish/v2020/output/art_hb_gf.csv
fp_art_lb,globalprep/prs_fish/v2020/output/art_lb_gf.csv
fp_com_hb,globalprep/prs_fish/v2020/output/comm_hb_gf.csv
fp_com_lb,globalprep/prs_fish/v2020/output/comm_lb_gf.csv
fp_fish_management,globalprep/res_fisheries_governance/v2022/output/fisheries_governance_res_gf.csv
fp_habitat,globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a_gf.csv
fp_artisanal,globalprep/ao/v2023/output/sdg_14_b_1_ao_gf.csv
fp_mpa_coast,globalprep/lsp/v2023/output/mpa_3nm_resilience_gf.csv
fp_mpa_eez,globalprep/lsp/v2023/output/mpa_eez_resilience_gf.csv
fp_targetharvest,globalprep/prs_targetedharvest/v2023/output/fao_targeted_gf.csv
fp_wildcaught_weight,globalprep/fp/v2023/output/wildcaught_weight_gf.csv
g_cites,globalprep/res_cites_signatories/v2017/output/cites_gf.csv
g_tourism,globalprep/res_cbd_habitat/v2014/data/r_tourism_2013a_gf.csv
