ds_reference,ds_name,ds_description,ds_years,ds_native_resolution,ds_updated_2016,ds_updated_2017,ds_updated_2018,ds_updated_2019,ds_updated_2020,ds_updated_2021,ds_updated_2022,ds_updated_2023
anderson2018stock,Stock assessement methods for data-limited fisheries,Methods: Data-limited stocks assessments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aviso2023,Sea level rise,Net change in sea level during the time series,1993-2021,0.25 deg,y,y,y,y,n,y,y,y
behrenfeld1997photosynthetic,NPP,Net Primary Productivity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birdlifeinternationalandhandbookofthebirdsoftheworld2020,Marine bird species threatened status,Status and distribution of marine bird species,2020,National,y,y,y,y,y,y,n,n
mcowen2017,Salt marsh,Global salt marsh extent and condition,1973-2015,Global,n,n,n,n,n,"y, new datasource",n,n
campbell2022,Salt marsh,Global salt marsh trend,NA,Global,NA,NA,NA,NA,NA,NA,NA,"y, new datasource"
bruno_regional_2016,Coral reefs,Global coral condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n,n,n,n,n,n,n
bunting2022global,Global Mangrove Extent Change,Global mangrove habitat extent based on satellite imagery — used to calculate mangrove extent and trend,1996-2020,Polygons rasterized to 1km,NA,NA,NA,NA,NA,NA,"y, new datasource",n
burke2011reefs,Blast and poison fishing practices,Presence of artisanal blast and poison (cyanide) fishing practices,2009,10 km,n,n,n,n,n,n,n,n
burke2011reefs,Coral reefs,Global coral condition and trend,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n,n,n,n,n,n,n
digirolamo2022,Sea ice,"Sea ice extent, condition and trend; edge and shoreline metrics",1979-2022,25 km,y,y,y,y,y,y,y,y
centerforinternationalearthscienceinformationnetworkciesin2000gridded,Coastal population,Raster data of human population,2000-2020,30 arcsec,y,"y, improved",y,y,n,n,n,n
cites_member_2015,CITES signatories,Countries that signed the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),2017,National,n,y,n,n,n,n,n,n
claus2012marine,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n,n,n,n,n,n
convention_on_biological_diversity_3rd_2005,CBD signatories and survey data,"Convention on Biological Diversity: Data from Third National Report for regulation of alien species, habitat, mariculture, tourism, and water to preserve biodiversity",2005,National,n,n,n,n,n,n,n,n
crotti2019world,Travel and Tourism Competitiveness Index (TTCI),Sustainability of the travel and tourism industry,2019,National,n,"y, not comparable across years",y,n,y,n,n,n
edffrance2011electricite,Marine jobs: tidal energy,La Rance (France) and Annapolis (Canada) tidal plants employment data,2003-2010,Points (sites),n,n,n,n,n,n,n,n
eriksen2014plastic,Trash pollution,Plastic trash pollution in ocean,2014,0.2 deg,n,n,n,n,n,n,n,n
esri_2010,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n,n,n,n,n,n
feely2009ocean,Ocean acidification,Change in aragonite saturation state (ASS) levels,2005-2020,1 deg,y,y,y,n,n,n,n,n
free2017mapping,Stock boundaries,Maps of fish stock boundaries for the original RAM Myers stock-recruit database,2017,Stock,NA,"y, new datasource",n,n,n,n,n,n
gentry2019exploring,Mariculture Capacity,Aquaculture potential for finfish and bivalves.,2017,0.0083 deg,NA,NA,NA,"y, new datasource",n,n,n,n
halpern2008global,Chemical pollution: land-based inorganic,Modeled pollution from urban runoff from impervious surfaces,2000,1 km,n,n,n,n,n,n,n,n
halpern2008global,Chemical pollution: land-based organic,Modeled pollution from pesticides,1990-2013,1 km (FAO data is National),y,n,n,n,n,n,n,n
halpern2008global,Chemical pollution: ocean-based,Modeled pollution from shipping and ports,2003/2011,1 km,n,n,n,n,n,n,n,n
halpern2008global,Nutrient pollution,Modeled N input from fertilizer use as a proxy for nutrient pollution,1990-2013,1 km (FAO data is National),y,n,n,n,n,NA,n,n
halpern2008global,Rocky reef,Global rocky reef habitat extent,2005,2 arcmin; Points,n,n,n,n,n,n,n,n
halpern2015spatial,Soft-bottom subtidal,Global soft-bottom subtidal habitat extent,2001-2005,0.5 deg,n,n,n,n,n,n,n,n
halpern2012index,Iconic species list,WWF Priority and Flagship Species Lists,2011,Global; National,n,n,n,n,n,n,n,n
halpern2012index,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n,n,n,n,n,n
halpern2015patterns,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n,n,n,n,n,n,n
