year,goal,method,reference_point
2017,FIS,Functional relationship (B/Bmsy),NA
2017,MAR,spatial 95th quantile,region id: 25 value: 0.0119704658196965
2017,AO,XXXXXXXX,NA
2017,NP,Harvest peak within region times 0.65 buffer,varies for each region
2017,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2017,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2017,TR,spatial: 90th quantile,0.0533074983666666
2017,ICO,scaled IUCN risk categories,NA
2017,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2017,CW,spatial: pressures scaled from 0-1 at raster level,NA
2017,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2017,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
