year,goal,method,reference_point
2020,FIS,Functional relationship (B/Bmsy),NA
2020,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2020,AO,XXXXXXXX,NA
2020,NP,Harvest peak within region times 0.65 buffer,varies for each region
2020,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2020,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2020,TR,spatial: 90th quantile,0.449783173666378
2020,ICO,scaled IUCN risk categories,NA
2020,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2020,CW,spatial: pressures scaled from 0-1 at raster level,NA
2020,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2020,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
