year,goal,method,reference_point
2023,FIS,Functional relationship (B/Bmsy),NA
2023,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2023,AO,XXXXXXXX,NA
2023,NP,Harvest peak within region times 0.65 buffer,varies for each region
2023,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2023,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2023,TR,spatial: 90th quantile,0.0584605194469722
2023,ICO,scaled IUCN risk categories,NA
2023,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2023,CW,spatial: pressures scaled from 0-1 at raster level,NA
2023,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2023,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
