"rgn_id","product","year","gapfilled","method"
14,"corals",2000,0,NA
15,"corals",2000,0,NA
16,"corals",2000,0,NA
17,"corals",2000,0,NA
18,"corals",2000,0,NA
20,"corals",2000,1,"prod_average"
21,"corals",2000,0,NA
25,"corals",2000,0,NA
37,"corals",2000,0,NA
39,"corals",2000,0,NA
40,"corals",2000,0,NA
42,"corals",2000,0,NA
48,"corals",2000,0,NA
49,"corals",2000,0,NA
61,"corals",2000,1,"prod_average"
62,"corals",2000,1,"prod_average"
72,"corals",2000,1,"prod_average"
76,"corals",2000,1,"prod_average"
82,"corals",2000,1,"prod_average"
102,"corals",2000,0,NA
115,"corals",2000,0,NA
131,"corals",2000,0,NA
132,"corals",2000,0,NA
133,"corals",2000,0,NA
134,"corals",2000,1,"prod_average"
137,"corals",2000,0,NA
138,"corals",2000,1,"prod_average"
139,"corals",2000,0,NA
145,"corals",2000,1,"prod_average"
147,"corals",2000,0,NA
162,"corals",2000,1,"prod_average"
163,"corals",2000,0,NA
166,"corals",2000,0,NA
171,"corals",2000,0,NA
179,"corals",2000,0,NA
182,"corals",2000,0,NA
186,"corals",2000,1,"prod_average"
187,"corals",2000,1,"prod_average"
195,"corals",2000,1,"prod_average"
206,"corals",2000,0,NA
208,"corals",2000,0,NA
209,"corals",2000,0,NA
210,"corals",2000,0,NA
214,"corals",2000,0,NA
216,"corals",2000,0,NA
218,"corals",2000,1,"prod_average"
223,"corals",2000,1,"prod_average"
224,"corals",2000,1,"prod_average"
6,"corals",2001,0,NA
7,"corals",2001,0,NA
8,"corals",2001,0,NA
9,"corals",2001,0,NA
11,"corals",2001,0,NA
14,"corals",2001,0,NA
15,"corals",2001,0,NA
16,"corals",2001,0,NA
17,"corals",2001,0,NA
18,"corals",2001,0,NA
20,"corals",2001,1,"prod_average"
21,"corals",2001,1,"prod_average"
25,"corals",2001,0,NA
37,"corals",2001,0,NA
39,"corals",2001,0,NA
40,"corals",2001,0,NA
42,"corals",2001,0,NA
48,"corals",2001,0,NA
49,"corals",2001,0,NA
61,"corals",2001,1,"prod_average"
62,"corals",2001,1,"prod_average"
66,"corals",2001,1,"prod_average"
72,"corals",2001,1,"prod_average"
76,"corals",2001,1,"prod_average"
77,"corals",2001,1,"prod_average"
82,"corals",2001,1,"prod_average"
102,"corals",2001,0,NA
114,"corals",2001,0,NA
115,"corals",2001,0,NA
131,"corals",2001,0,NA
132,"corals",2001,0,NA
133,"corals",2001,0,NA
134,"corals",2001,1,"prod_average"
137,"corals",2001,0,NA
138,"corals",2001,1,"prod_average"
139,"corals",2001,0,NA
143,"corals",2001,1,"prod_average"
145,"corals",2001,0,NA
147,"corals",2001,0,NA
162,"corals",2001,1,"prod_average"
163,"corals",2001,0,NA
166,"corals",2001,0,NA
171,"corals",2001,0,NA
179,"corals",2001,0,NA
182,"corals",2001,0,NA
186,"corals",2001,1,"prod_average"
187,"corals",2001,1,"prod_average"
195,"corals",2001,1,"prod_average"
206,"corals",2001,0,NA
207,"corals",2001,0,NA
208,"corals",2001,0,NA
209,"corals",2001,0,NA
210,"corals",2001,0,NA
214,"corals",2001,0,NA
216,"corals",2001,0,NA
218,"corals",2001,1,"prod_average"
223,"corals",2001,1,"prod_average"
224,"corals",2001,1,"prod_average"
6,"corals",2002,0,NA
7,"corals",2002,0,NA
8,"corals",2002,0,NA
9,"corals",2002,0,NA
11,"corals",2002,0,NA
14,"corals",2002,0,NA
15,"corals",2002,0,NA
16,"corals",2002,0,NA
17,"corals",2002,0,NA
18,"corals",2002,0,NA
20,"corals",2002,0,NA
21,"corals",2002,1,"prod_average"
25,"corals",2002,0,NA
37,"corals",2002,0,NA
39,"corals",2002,0,NA
40,"corals",2002,0,NA
42,"corals",2002,0,NA
48,"corals",2002,0,NA
49,"corals",2002,0,NA
61,"corals",2002,1,"prod_average"
62,"corals",2002,1,"prod_average"
66,"corals",2002,1,"prod_average"
72,"corals",2002,1,"prod_average"
76,"corals",2002,1,"prod_average"
77,"corals",2002,1,"prod_average"
82,"corals",2002,1,"prod_average"
102,"corals",2002,0,NA
114,"corals",2002,0,NA
115,"corals",2002,0,NA
127,"corals",2002,0,NA
131,"corals",2002,0,NA
132,"corals",2002,0,NA
133,"corals",2002,0,NA
134,"corals",2002,1,"prod_average"
137,"corals",2002,0,NA
138,"corals",2002,1,"prod_average"
