year,goal,method,reference_point
2015,FIS,Functional relationship (B/Bmsy),NA
2015,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2015,AO,XXXXXXXX,NA
2015,NP,Harvest peak within region times 0.65 buffer,varies for each region
2015,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2015,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2015,TR,spatial: 90th quantile,0.449783173666378
2015,ICO,scaled IUCN risk categories,NA
2015,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2015,CW,spatial: pressures scaled from 0-1 at raster level,NA
2015,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2015,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
