year,goal,method,reference_point
2014,FIS,Functional relationship (B/Bmsy),NA
2014,MAR,spatial 95th quantile,region id: 137 value: 0.0124411538544567
2014,AO,XXXXXXXX,NA
2014,NP,Harvest peak within region times 0.65 buffer,varies for each region
2014,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2014,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2014,TR,spatial: 90th quantile,0.0523597754944984
2014,ICO,scaled IUCN risk categories,NA
2014,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2014,CW,spatial: pressures scaled from 0-1 at raster level,NA
2014,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2014,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
