year,goal,method,reference_point
2022,FIS,Functional relationship (B/Bmsy),NA
2022,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2022,AO,XXXXXXXX,NA
2022,NP,Harvest peak within region times 0.65 buffer,varies for each region
2022,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2022,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2022,TR,spatial: 90th quantile,0.0589429012054426
2022,ICO,scaled IUCN risk categories,NA
2022,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2022,CW,spatial: pressures scaled from 0-1 at raster level,NA
2022,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2022,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
