year,goal,method,reference_point
2019,FIS,Functional relationship (B/Bmsy),NA
2019,MAR,Biological capacity of region to produce mariculture,"Varies by region, see Gentry et al. 2017"
2019,AO,XXXXXXXX,NA
2019,NP,Harvest peak within region times 0.65 buffer,varies for each region
2019,CS,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2019,CP,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2019,TR,spatial: 90th quantile,0.0571263773265377
2019,ICO,scaled IUCN risk categories,NA
2019,LSP,30% marine protected area; 30% coastal protected area,varies by area of region's eez and 1 km inland
2019,CW,spatial: pressures scaled from 0-1 at raster level,NA
2019,HAB,Health/condition variable based on current vs. historic extent,varies for each region/habitat
2019,SPP,"Average of IUCN risk categories, scaled to historic extinction",NA
