Region,Index,FIS,FP,MAR,AO,NP,CS,CP,LIV,LE,ECO,TR,ICO,SP,LSP,CW,HAB,BD,SPP
Brazil ,60,42,36,6,62,29,89,92,56,52,48,31,47,48,48,77,95,85,74
Alagoas (AL),55,40,33,1,59,28,90,89,55,51,46,22,46,33,20,60,94,82,70
Amapa (AP),62,42,42,,62,28,93,94,54,50,46,3,47,73,98,90,96,85,74
Bahia (BA),66,41,34,1,61,29,93,93,56,52,48,88,47,58,69,71,97,85,73
Ceara (CE),56,41,36,12,60,29,75,76,55,51,47,34,47,35,24,85,90,81,73
Espirito Santo (ES),57,42,35,3,61,29,95,94,56,52,48,15,47,38,28,62,97,85,74
Maranhao (MA),57,40,34,0,60,28,87,88,55,50,46,9,46,53,60,79,93,82,72
Para (PA),55,41,34,0,60,28,92,93,55,50,46,1,46,37,29,74,96,84,72
Paraiba (PB),55,40,33,1,59,28,87,89,55,51,46,11,46,44,43,62,93,82,71
Pernambuco (PE),60,41,34,2,60,29,85,88,56,52,48,58,47,41,35,70,94,83,73
Piaui (PI),47,40,33,1,59,27,81,82,54,50,45,2,45,27,10,31,91,80,69
Parana (PR),60,42,40,27,63,29,95,96,56,53,49,3,48,53,59,85,99,87,76
Rio de Janeiro (RJ),71,44,36,0,65,30,99,99,57,54,50,100,50,57,65,77,99,88,78
Rio Grande Do Norte (RN),50,40,34,5,59,28,33,74,55,50,46,33,46,32,17,79,77,74,71
Rio Grande Do Sul (RS),60,43,36,0,63,30,100,100,57,53,49,5,49,42,35,84,100,88,77
Santa Catarina (SC),62,42,46,66,62,29,93,94,56,52,49,37,48,39,31,77,99,87,75
Sergipe (SE),54,40,34,2,60,28,89,90,55,51,47,11,46,45,45,47,95,83,71
Sao Paulo (SP),66,45,37,1,66,30,97,97,58,54,51,29,51,63,75,95,99,89,80
