targets,layer,name,description,fld_value,units,dir_2014a,fn_2014a,dir_2015a,fn_2015a,ingest,global_methods,global_data,2014_assessment_data_methods
CW,cw_chemical_trend,Trends in chemical pollution,"Trends in modeled chemical pollution from commercial shipping traffic, ports and harbors, and land-based organic and inorganic inputs (Halpern et al., 2015, Spatial and temporal changes in cumulative human impacts on the world's ocean, http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)",trend,trend score,ohiprep:Antarctica/AQ_CW_chem_pressure/data,cw_chem_trend_v2014.csv,ohiprep:Antarctica/AQ_CW_chem_pressure/data,cw_chem_trend_v2015.csv,T,Y,Y,Y_Y
CW,cw_trash_trend,Trends in global population,"Trends in global population is used as a proxy for trends in marine plastics trash pollution (UN, 2015, http://esa.un.org/unpd/wpp/Download/Standard/Population/)",trend,trend score,ohiprep:Antarctica/AQ_CW_chem_pressure/data,cw_trash_trend_v2014.csv,ohiprep:Antarctica/AQ_CW_chem_pressure/data,cw_trash_trend_v2015.csv,T,N,N,Y_Y
CW,cw_pathogen_trend,Trends in global CCAMLR populations,Trends in CCAMLR population is used as a proxy for trends in pathogens,trend,trend score,ohiprep:Antarctica/AQ_CW_pressure_pathogen/data,cw_pathogen_trend.csv,,,T,N,N,N_N
FIS NP,fis_catch,Catch data,"CCAMLR catch data for each species/year/region (CCAMLR Statistical Bulletin Vol. 27, 2015, https://www.ccamlr.org/en/document/data/ccamlr-statistical-bulletin-vol-27)",catch,metric tons,ohiprep:Antarctica/AQ_FIS/v2015/data,fis_catch.csv,,,T,Y,N,Y_Y
FIS NP,fis_reference,CCAMLR catch limits,"CCAMLR catch limits (CCAMLR Fishery Reports, 2014, https://www.ccamlr.org/en/publications/fishery-reports-2014)",reference,metric tons,ohiprep:Antarctica/AQ_FIS/v2015/data,fis_reference.csv,,,T,N,N,Y_Y
HAB,hab_sea_ice,Sea ice season days,Length of sea ice season (days),days,days,ohiprep:Antarctica/AQ_SeaIce/v2015/data,hab_sea_ice_season_days.csv,,,T,N,N,Y_Y
ICO,ico_status,Iconic species status,"Iconic species of Antarctica and IUCN threat status.  List of Iconic species is from OHI global assessment (Halpern et al. 2015); status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)",category,iucn status,ohiprep:Antarctica/AQ_ICO/data,ico_status.csv,,,T,Y,Y,Y_Y
ICO,ico_trend,Iconic species trend,"Iconic species of Antarctica and IUCN trend status.  List of Iconic species is from OHI global assessment (Halpern et al. 2015); status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)",popn_trend,iucn trend,ohiprep:Antarctica/AQ_ICO/data,ico_trend.csv,,,T,Y,Y,Y_Y
ECO,eco,Crew data,"Crew data for tourist (see tourism and recreation goal) and fishing vessels (CCAMLR, 2015, compliance: vessel licensing, https://www.ccamlr.org/en/compliance/licensed-vessels)",crew,crew,ohiprep:Antarctica/AQ_ECO/v2015/data,ECOdata.csv,,,T,N,N,N_N
LSP,lsp_mpa,Protected marine areas,"Protected marine areas of CCAMLR regions (CCAMLR, 2014, Status of Antarctic specially protected area and Antarctic specially managed area management plans, http://www.ats.aq/documents/ATCM37/WW/atcm37_ww002_e.pdf)",area_km2,km^2,ohiprep:Antarctica/AQ_LSP/v2015/data,lsp_prot_area_offshore.csv,,,T,Y,N,N_N
pressures,cc_acid,Ocean acidification,"Change in current year's modeled aragonite saturation state relative to historical mean (1880-1889) (Feely et al, 2009, doi:10.5670/oceanog.2009.95; J. Afflerbach et al., 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_OceanAcidification/v2015) ",pressure_score,pressure score,ohiprep:globalprep/PressuresRegionExtract/data,acid_eez-ccamlr_2013.csv,ohiprep:globalprep/PressuresRegionExtract/data,acid_eez-ccamlr_2014.csv,T,Y,Y,Y_Y
pressures,cc_sst,Sea surface temperature (SST) anomalies,"Change in sea surface temperature anomolies compared to reference period (1985-1989) (NOAA, 2015; and methods: Selig et al., 2010 and Afflerbach, 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/Pressures_SST) ",pressure_score,pressure score,ohiprep:globalprep/PressuresRegionExtract/data,sst_eez-ccamlr_2014.csv,ohiprep:globalprep/PressuresRegionExtract/data,sst_eez-ccamlr_2015.csv,T,Y,Y,Y_Y
pressures,fp_com_hb,High commercial fishing bycatch ,"Modeled destructive commercial fishing practices by 5 different gear types (Halpern et al. 2008, doi:10.1126/science.1149345; Behrenfeld and Falkowksi, 1997)",pressure_score,pressure score,ohiprep:globalprep/PressuresRegionExtract/data,catch_05_09_npp_hb_ccamlr.csv,ohiprep:globalprep/PressuresRegionExtract/data,catch_06_10_npp_hb_ccamlr.csv,T,Y,Y,Y_Y
pressures,fp_com_lb,Low commercial fishing bycatch ,"Modeled least destructive commercial fishing practices by 2 different gear types (Halpern et al. 2008, doi:10.1126/science.1149345; Behrenfeld and Falkowksi, 1997)",pressure_score,pressure score,ohiprep:globalprep/PressuresRegionExtract/data,catch_05_09_npp_lb_ccamlr.csv,ohiprep:globalprep/PressuresRegionExtract/data,catch_06_10_npp_lb_ccamlr.csv,T,Y,Y,Y_Y
pressures,sp_alien,Alien species,"The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008, https://doi.org/10.1890/070064)",pressure_score,pressure score,ohiprep:Antarctica/AQ_Pressure_alien/data,sp_alien_2013_AQ.csv,,,T,Y,Y,Y_Y
pressures CW,po_chemicals,Chemical pollution,"Modeled chemical pollution from commercial shipping traffic, ports and harbors, and land-based organic and inorganic inputs (data: Halpern et al. 2008, 2015).",pressure_score,pressure score,ohiprep:Antarctica/AQ_CW_chem_pressure/data,po_chemicals_v2014.csv,ohiprep:Antarctica/AQ_CW_chem_pressure/data,po_chemicals_v2015.csv,T,Y,Y,Y_Y
pressures CW,po_trash,Trash pollution,"Global marine plastics (data: Eriksen et al., 2014, doi:10.1371/journal.pone.0111913; methods: Afflerbach, 2015, https://github.com/OHI-Science/ohiprep/tree/master/globalprep/CW_pressure_trash) ",pressure_score,pressure score,ohiprep:globalprep/PressuresRegionExtract/data,trash_ccamlr_2015.csv,,,T,Y,Y,Y_Y
