ds_reference,ds_name,ds_description,ds_years,ds_native_resolution,ds_updated_2016,ds_updated_2017
_ram_2017,Stock assessments,Stock assesment scores,1950-2014,Stock,y,y
aviso_satellite_2016,Sea level rise,Net change in sea level during the time series,1993-2016,0.25 deg,y,y
behrenfeld_photosynthetic_1997,NPP,Net Primary Productivity,2002-2016,0.083 deg,n,y
bridgham_carbon_2006,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n
bruno_regional_2007,Coral reefs,Global coral habitat extent and change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n
burke_reefs_2011,Blast and poison fishing practices,Presence of artisanal blast and poison (cyanide) fishing practices,2009,10 km,n,n
burke_reefs_2011,Coral reefs,Global coral habitat extent and change in condition,"2002,1980-2009,2006",0.5 km; 1 km; Sites (points),n?,n
cavalieri_sea_1996,Sea ice,"Sea ice change in extent, both edge and shoreline metrics",1979-2016,25 km,y,y
center_for_international_earth_science_information_network_ciesin_gridded_2005,Coastal population,Raster data of human population,2005-2020,30 arcsec,y,"y, improved"
cites_member_2015,CITES signatories,Countries that signed the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),2017,National,n,y
claus_marine_2012,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n
convention_on_biological_diversity_3rd_2005,CBD signatories and survey data,"Convention on Biological Diversity: Data from Third National Report for regulation of alien species, habitat, mariculture, tourism, and water to preserve biodiversity",2005,National,n,n
crotti_world_2015,Global Competitiveness Index (GCI),Composite measure of 12 aspects of economic competitiveness,2012-2016,National,n,y
crotti_world_2015,Travel and Tourism Competitiveness Index (TTCI),Sustainability of the travel and tourism industry,2016,National,n,"y, not comparable across years"
dahl_status_2011,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n
edf_france_electricite_2011,Marine jobs: tidal energy,La Rance (France) and Annapolis (Canada) tidal plants employment data,2003-2010,Points (sites),n,n
eionet_european_environment_agency_eea_eu_2008,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n
eriksen_plastic_2014,Trash pollution,Plastic trash pollution in ocean,2014,0.2 deg,n,n
esri_esri_2010,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n
feely_ocean_2009,Ocean acidification,Change in aragonite saturation state (ASS) levels,2005-2020,1 deg,y,y
free_mapping_2017,Stock boundaries,Maps of fish stock boundaries for the original RAM Myers stock-recruit database,2017,Stock, ,"y, new datasource"
halpern_global_2008,Chemical pollution: land-based inorganic,Modeled pollution from urban runoff from impervious surfaces,2000,1 km,n,n
halpern_global_2008,Chemical pollution: land-based organic,Modeled pollution from pesticides,1990-2013,1 km (FAO data is National),y,n
halpern_global_2008,Chemical pollution: ocean-based ,Modeled pollution from shipping and ports,2003/2011,1 km,n,n
halpern_global_2008,Nutrient pollution,Modeled N input from fertilizer use as a proxy for nutrient pollution,1990-2013,1 km (FAO data is National),y,n
halpern_global_2008,Rocky reef,Global rocky reef habitat extent,2005,2 arcmin; Points,n,n
halpern_global_2008,Soft-bottom subtidal,Global soft-bottom subtidal habitat extent,2001-2005,0.5 deg,n,n
halpern_index_2012,Iconic species list,WWF Priority and Flagship Species Lists,2011,Global; National,n,n
halpern_index_2012,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n
halpern_patterns_2015,Land and ocean areas,Land and ocean areas for OHI land and eez regions,2013,1 km,n,n
halpern_spatial_2015,Chemical pollution: ocean-based ,Modeled pollution from shipping and ports,2003/2011,1 km,n,n
hamilton_creation_2016,Mangroves,"Global mangrove habitat extent, from remote sensing and assessments",2000-2012,"30m2, summarized to 500m2",n,n
hemminga_seagrass_2000,Seagrass ,Seagrass geographical regions,2010,County,n,n
homer_development_2004,Chemical pollution: land-based inorganic,Modeled pollution from urban runoff from impervious surfaces,2000,1 km,n,n
iucn_iucn_2016,Marine species threatened status,IUCN threat category; sub-population status for iconic species,1965-2016,National,y,y
iucn_red_2016,"Marine species ranges, IUCN",IUCN spatial distribution,2016,Polygons rasterized to 0.5 deg,y,y
jambeck_plastic_2015,Improper plastic disposal,Trends in mismanaged plastic waste for 2010 and projected for 2025 as a proxy for trash trends,2010-2025 (projected),National,y,n
joint_nature_conservation_committee_common_2004,Salt marsh,Global salt marsh habitat extent and condition,1975-2007,National,n,n
kaschner_aquamaps:_2015,"Marine species ranges, Aquamaps",Aquamaps spatial distribution range maps,2016,0.5 deg,y,y
kaufmann_worldwide_2010,Total population,Census populations for 221 countries,1990-2012,National,n,n
