layer,variable,variable_data
ao_access,dir_2012a,ohiprep:globalprep/res_mora_ao/v2013/data
ao_access,dir_2013a,ohiprep:globalprep/res_mora_ao/v2013/data
ao_access,dir_2014a,
ao_access,dir_2015a,
ao_access,dir_2016a,
ao_access,name_data_fld,value
ao_access,fn_2012a,r_mora_s4_2013a.csv
ao_access,fn_2013a,r_mora_s4_2013a.csv
ao_access,fn_2014a,
ao_access,fn_2015a,
ao_access,fn_2016a,
ao_access,ingest,TRUE
ao_need,dir_2012a,ohiprep:globalprep/ao/v2016/output
ao_need,dir_2013a,ohiprep:globalprep/ao/v2016/output
ao_need,dir_2014a,
ao_need,dir_2015a,
ao_need,dir_2016a,
ao_need,name_data_fld,value
ao_need,fn_2012a,wb_gdppcppp_rescaled.csv
ao_need,fn_2013a,wb_gdppcppp_rescaled.csv
ao_need,fn_2014a,
ao_need,fn_2015a,
ao_need,fn_2016a,
ao_need,ingest,TRUE
cc_acid,dir_2012a,ohiprep:globalprep/prs_oa/v2016/output
cc_acid,dir_2013a,ohiprep:globalprep/prs_oa/v2016/output
cc_acid,dir_2014a,ohiprep:globalprep/prs_oa/v2016/output
cc_acid,dir_2015a,ohiprep:globalprep/prs_oa/v2016/output
cc_acid,dir_2016a,ohiprep:globalprep/prs_oa/v2016/output
cc_acid,name_data_fld,pressure_score
cc_acid,fn_2012a,acid_eez_2011.csv
cc_acid,fn_2013a,acid_eez_2012.csv
cc_acid,fn_2014a,acid_eez_2013.csv
cc_acid,fn_2015a,acid_eez_2014.csv
cc_acid,fn_2016a,acid_eez_2015.csv
cc_acid,ingest,TRUE
cc_slr,dir_2012a,ohiprep:globalprep/prs_slr/v2016/output
cc_slr,dir_2013a,ohiprep:globalprep/prs_slr/v2016/output
cc_slr,dir_2014a,ohiprep:globalprep/prs_slr/v2016/output
cc_slr,dir_2015a,ohiprep:globalprep/prs_slr/v2016/output
cc_slr,dir_2016a,ohiprep:globalprep/prs_slr/v2016/output
cc_slr,name_data_fld,pressure_score
cc_slr,fn_2012a,slr_2012.csv
cc_slr,fn_2013a,slr_2013.csv
cc_slr,fn_2014a,slr_2014.csv
cc_slr,fn_2015a,slr_2015.csv
cc_slr,fn_2016a,slr_2016.csv
cc_slr,ingest,TRUE
cc_sst,dir_2012a,ohiprep:globalprep/prs_sst/v2016/output
cc_sst,dir_2013a,ohiprep:globalprep/prs_sst/v2016/output
cc_sst,dir_2014a,ohiprep:globalprep/prs_sst/v2016/output
cc_sst,dir_2015a,ohiprep:globalprep/prs_sst/v2016/output
cc_sst,dir_2016a,ohiprep:globalprep/prs_sst/v2016/output
cc_sst,name_data_fld,pressure_score
cc_sst,fn_2012a,sst_2012.csv
cc_sst,fn_2013a,sst_2013.csv
cc_sst,fn_2014a,sst_2014.csv
cc_sst,fn_2015a,sst_2015.csv
