layer,variable,variable_data_2018,variable_data_2019
ao_access,dataprep_url,globalprep/res_mora_ao,
ao_need,dataprep_url,globalprep/ao/v2018/ao_need_data_prep.html,globalprep/ao/v2018/ao_need_data_prep.html
cc_acid,dataprep_url,globalprep/prs_oa/v2017/create_oa_layer.html,
cc_slr,dataprep_url,globalprep/prs_slr/v2018/slr_layer_prep_v2.html,globalprep/prs_slr/v2019/slr_layer_prep_v2.html
cc_sst,dataprep_url,globalprep/prs_sst/v2018/sst_layer_prep.rmd,globalprep/prs_sst/v2019/sst_layer_prep.html
cc_uv,dataprep_url,globalprep/prs_uv/v2018/uv_dataprep.html,globalprep/prs_uv/v2019/uv_dataprep.html
cw_chemical_trend,dataprep_url,globalprep/prs_chem/v2016,
cw_nutrient_trend,dataprep_url,globalprep/prs_land-based_nutrient/v2016,
cw_pathogen_trend,dataprep_url,globalprep/prs_cw_pathogen/v2018/cw_sanitation_data_prep.html,globalprep/prs_cw_pathogen/v2019/cw_sanitation_data_prep.html
cw_trash_trend,dataprep_url,globalprep/cw_trend_trash/v2016/cw_trend_trash_dataprep.html,
eco_status,dataprep_url,globalprep/le/v2018,
eco_trend,dataprep_url,globalprep/le/v2018,
element_wts_cp_km2_x_protection,dataprep_url,globalprep/weighting_files,
element_wts_cs_km2_x_storage,dataprep_url,globalprep/weighting_files,
element_wts_hab_pres_abs,dataprep_url,globalprep/weighting_files,
fis_b_bmsy,dataprep_url,globalprep/fis/v2018/calculate_bbmsy.html,globalprep/fis/v2019/calculate_bbmsy.html
fis_b_bmsy,dataprep_url,globalprep/fis/v2018/RAM_CMSY_combine.html,globalprep/fis/v2019/RAM_CMSY_combine.html
fis_b_bmsy,dataprep_url,globalprep/fis/v2018/RAM_data_prep.html,globalprep/fis/v2019/RAM_data_prep.html
fis_meancatch,dataprep_url,globalprep/fis/v2018/catch_data_prep.html,globalprep/fis/v2019/catch_data_prep.html
fp_art_hb,dataprep_url,globalprep/prs_fish/v2018/fishing_pressure_layers.html,globalprep/prs_fish/v2019/fishing_pressure_layers.html
fp_art_hb,dataprep_url,globalprep/prs_fish/v2018/npp.html,globalprep/prs_fish/v2019/npp.html
fp_art_lb,dataprep_url,globalprep/prs_fish/v2018/fishing_pressure_layers.html,globalprep/prs_fish/v2019/fishing_pressure_layers.html
fp_art_lb,dataprep_url,globalprep/prs_fish/v2018/npp.html,globalprep/prs_fish/v2019/npp.html
fp_com_hb,dataprep_url,globalprep/prs_fish/v2018/fishing_pressure_layers.html,globalprep/prs_fish/v2019/fishing_pressure_layers.html
