spp_group_text,n_spp,quad,n_quad,pct_quad,pct_q1,quad_name
Angelfish,10,q1,6,0.6,0.6,well-aligned
Bonefish/Tarpon,2,q1,1,0.5,0.5,well-aligned
Butterflyfish,30,q1,8,0.26666666666666666,0.26666666666666666,well-aligned
Combtooth Blennies,18,q1,3,0.16666666666666666,0.16666666666666666,well-aligned
Corals,11,q1,1,0.09090909090909091,0.09090909090909091,well-aligned
Damselfish,6,q1,1,0.16666666666666666,0.16666666666666666,well-aligned
Groupers,25,q1,12,0.48,0.48,well-aligned
Lobsters,8,q1,5,0.625,0.625,well-aligned
Marine Mammals,96,q1,73,0.7604166666666666,0.7604166666666666,well-aligned
Pufferfish,8,q1,5,0.625,0.625,well-aligned
Reptiles,5,q1,2,0.4,0.4,well-aligned
Seabreams/Porgies,13,q1,6,0.46153846153846156,0.46153846153846156,well-aligned
Surgeons/Tangs/Unicornfish,30,q1,4,0.13333333333333333,0.13333333333333333,well-aligned
Tunas/Billfish,27,q1,15,0.5555555555555556,0.5555555555555556,well-aligned
Wrasses,46,q1,11,0.2391304347826087,0.2391304347826087,well-aligned
Sea Cucumbers,1,q1,0,0,0,well-aligned
Terr. Mammals,1,q1,0,0,0,well-aligned
Angelfish,10,q2,1,0.1,0.6,dist-aligned
Bonefish/Tarpon,2,q2,0,0,0.5,dist-aligned
Butterflyfish,30,q2,16,0.5333333333333333,0.26666666666666666,dist-aligned
Combtooth Blennies,18,q2,5,0.2777777777777778,0.16666666666666666,dist-aligned
Corals,11,q2,9,0.8181818181818182,0.09090909090909091,dist-aligned
Damselfish,6,q2,2,0.3333333333333333,0.16666666666666666,dist-aligned
Groupers,25,q2,4,0.16,0.48,dist-aligned
Lobsters,8,q2,0,0,0.625,dist-aligned
Marine Mammals,96,q2,17,0.17708333333333334,0.7604166666666666,dist-aligned
Pufferfish,8,q2,1,0.125,0.625,dist-aligned
Reptiles,5,q2,3,0.6,0.4,dist-aligned
Seabreams/Porgies,13,q2,3,0.23076923076923078,0.46153846153846156,dist-aligned
Surgeons/Tangs/Unicornfish,30,q2,17,0.5666666666666667,0.13333333333333333,dist-aligned
Tunas/Billfish,27,q2,9,0.3333333333333333,0.5555555555555556,dist-aligned
Wrasses,46,q2,21,0.45652173913043476,0.2391304347826087,dist-aligned
Sea Cucumbers,1,q2,1,1,0,dist-aligned
Terr. Mammals,1,q2,0,0,0,dist-aligned
Angelfish,10,q3,3,0.3,0.6,area-aligned
Bonefish/Tarpon,2,q3,1,0.5,0.5,area-aligned
Butterflyfish,30,q3,6,0.2,0.26666666666666666,area-aligned
Combtooth Blennies,18,q3,5,0.2777777777777778,0.16666666666666666,area-aligned
Corals,11,q3,0,0,0.09090909090909091,area-aligned
Damselfish,6,q3,1,0.16666666666666666,0.16666666666666666,area-aligned
Groupers,25,q3,8,0.32,0.48,area-aligned
Lobsters,8,q3,0,0,0.625,area-aligned
Marine Mammals,96,q3,4,0.041666666666666664,0.7604166666666666,area-aligned
Pufferfish,8,q3,2,0.25,0.625,area-aligned
Reptiles,5,q3,0,0,0.4,area-aligned
Seabreams/Porgies,13,q3,2,0.15384615384615385,0.46153846153846156,area-aligned
Surgeons/Tangs/Unicornfish,30,q3,2,0.06666666666666667,0.13333333333333333,area-aligned
Tunas/Billfish,27,q3,3,0.1111111111111111,0.5555555555555556,area-aligned
Wrasses,46,q3,11,0.2391304347826087,0.2391304347826087,area-aligned
Sea Cucumbers,1,q3,0,0,0,area-aligned
Terr. Mammals,1,q3,1,1,0,area-aligned
Angelfish,10,q4,0,0,0.6,poorly aligned
Bonefish/Tarpon,2,q4,0,0,0.5,poorly aligned
Butterflyfish,30,q4,0,0,0.26666666666666666,poorly aligned
Combtooth Blennies,18,q4,5,0.2777777777777778,0.16666666666666666,poorly aligned
Corals,11,q4,1,0.09090909090909091,0.09090909090909091,poorly aligned
Damselfish,6,q4,2,0.3333333333333333,0.16666666666666666,poorly aligned
Groupers,25,q4,1,0.04,0.48,poorly aligned
Lobsters,8,q4,3,0.375,0.625,poorly aligned
Marine Mammals,96,q4,2,0.020833333333333332,0.7604166666666666,poorly aligned
Pufferfish,8,q4,0,0,0.625,poorly aligned
Reptiles,5,q4,0,0,0.4,poorly aligned
Seabreams/Porgies,13,q4,2,0.15384615384615385,0.46153846153846156,poorly aligned
Surgeons/Tangs/Unicornfish,30,q4,7,0.23333333333333334,0.13333333333333333,poorly aligned
Tunas/Billfish,27,q4,0,0,0.5555555555555556,poorly aligned
Wrasses,46,q4,3,0.06521739130434782,0.2391304347826087,poorly aligned
Sea Cucumbers,1,q4,0,0,0,poorly aligned
Terr. Mammals,1,q4,0,0,0,poorly aligned
