sciname,fbname,common
Arctocephalus australis,South American fur seal,South American Fur Seal
Arctocephalus galapagoensis,Galapagos fur seal,Galapagos Fur Seal
Arctocephalus gazella,Antarctic fur seal,Antarctic Fur Seal
Arctocephalus philippii,Juan Fernandez fur seal,Juan Fernandez Fur Seal
Arctocephalus pusillus,South African fur seal,South African Fur Seal
Arctocephalus townsendi,Guadalupe fur seal,Guadalupe Fur Seal
Arctocephalus tropicalis,Subantarctic fur seal,Subantarctic Fur Seal
Balaena mysticetus,bowhead whale,Bowhead Whale
Balaenoptera acutorostrata,northern minke whale,Northern Minke Whale
Balaenoptera borealis,sei whale,Sei Whale
Balaenoptera edeni,Eden's whale,Eden's Whale
Balaenoptera musculus,blue whale,Blue Whale
Balaenoptera physalus,fin whale,Fin Whale
Balaenoptera bonaerensis,Antarctic minke whale,Antarctic Minke Whale
Berardius arnuxii,Arnoux's beaked whale,Arnoux's Beaked Whale
Berardius bairdii,Baird's beaked whale,Baird's Beaked Whale
Callorhinus ursinus,northern fur seal,Northern Fur Seal
Caperea marginata,pygmy right whale,Pygmy Right Whale
Caretta caretta,loggerhead turtle,Loggerhead Turtle
Cephalorhynchus commersonii,Commerson's dolphin,Commerson's Dolphin
Cephalorhynchus eutropia,black dolphin,Black Dolphin
Cephalorhynchus heavisidii,Heaviside's dolphin,Heaviside's Dolphin
Cephalorhynchus hectori,Hector's dolphin,Hector's Dolphin
Chaetodon marleyi,Doublesash butterflyfish,Doublesash Butterflyfish
Chaetodon robustus,Three-banded butterflyfish,Three-Banded Butterflyfish
Chelonia mydas,green sea turtle,Green Sea Turtle
Crocodylus acutus,American crocodyle,American Crocodile
Crocodylus porosus,saltwater crocodile,Saltwater Crocodile
Cystophora cristata,hooded seal,Hooded Seal
Delphinapterus leucas,beluga,Beluga
Delphinus delphis,common dolphin,Common Dolphin
Delphinus capensis,long-beaked common dolphin,Long-Beaked Common Dolphin
Dermochelys coriacea,leatherback turtle,Leatherback Turtle
Dugong dugon,dugong,Dugong
Enhydra lutris,sea otter,Sea Otter
Epinephelus drummondhayi,Speckled hind,Speckled Hind
Epinephelus lanceolatus,Giant grouper,Giant Grouper
Epinephelus marginatus,Dusky grouper,Dusky Grouper
Hyporthodus nigritus,Warsaw grouper,Warsaw Grouper
Hyporthodus niveatus,Snowy grouper,Snowy Grouper
Epinephelus striatus,Nassau grouper,Nassau Grouper
Eretmochelys imbricata,hawksbill turtle,Hawksbill Turtle
Erignathus barbatus,bearded seal,Bearded Seal
Eschrichtius robustus,gray whale,Gray Whale
Eubalaena australis,southern right whale,Southern Right Whale
Eumetopias jubatus,Steller's sea lion,Steller's Sea Lion
Feresa attenuata,pygmy killer whale,Pygmy Killer Whale
Globicephala macrorhynchus,short-finned pilot whale,Short-Finned Pilot Whale
Globicephala melas,long-finned pilot whale,Long-Finned Pilot Whale
Grampus griseus,Risso's dolphin,Risso's Dolphin
Halichoerus grypus,grey seal,Grey Seal
Hydrurga leptonyx,leopard seal,Leopard Seal
Hyperoodon planifrons,Southern bottlenose whale,Southern Bottlenose Whale
Kogia sima,dwarf sperm whale,Dwarf Sperm Whale
Lachnolaimus maximus,Hogfish,Hogfish
Lagenodelphis hosei,Fraser's dolphin,Fraser's Dolphin
Lagenorhynchus acutus,Atlantic white-sided dolphin,Atlantic White-Sided Dolphin
Lagenorhynchus albirostris,white-beaked dolphin,White-Beaked Dolphin
Lagenorhynchus australis,Peale's dolphin,Peale's Dolphin
Lagenorhynchus cruciger,hourglass dolphin,Hourglass Dolphin
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Pacific White-Sided Dolphin
Lagenorhynchus obscurus,dusky dolphin,Dusky Dolphin
Lagocephalus gloveri,null,Null
Lepidochelys olivacea,Olive ridley turtle,Olive Ridley Turtle
Leptonychotes weddellii,Weddell seal,Weddell Seal
Lissodelphis borealis,Northern right whale dolphin,Northern Right Whale Dolphin
Lithognathus lithognathus,White steenbras,White Steenbras
Lobodon carcinophaga,crabeater seal,Crabeater Seal
Lutra lutra,Eurasian river otter,Eurasian River Otter
Megaptera novaeangliae,humpback whale,Humpback Whale
Mesoplodon bidens,Sowerby's beaked whale,Sowerby's Beaked Whale
Mesoplodon carlhubbsi,Hubb's beaked whale,Hubb's Beaked Whale
Mesoplodon europaeus,Gervais' beaked whale,Gervais' Beaked Whale
Mesoplodon ginkgodens,ginkgo-toothed beaked whale,Ginkgo-Toothed Beaked Whale
Mesoplodon grayi,Gray's beaked whale,Gray's Beaked Whale
Mesoplodon hectori,Hector's beaked whale,Hector's Beaked Whale
Mesoplodon layardii,strap-toothed whale,Strap-Toothed Whale
Mesoplodon mirus,True's beaked whale,True's Beaked Whale
Mesoplodon peruvianus,pygmy beaked whale,Pygmy Beaked Whale
Mesoplodon stejnegeri,Stejneger's beaked whale,Stejneger's Beaked Whale
Mirounga angustirostris,northern elephant seal,Northern Elephant Seal
Mirounga leonina,southern elephant seal,Southern Elephant Seal
Monachus monachus,Mediterranean monk seal,Mediterranean Monk Seal
Neomonachus schauinslandi,NA,"NA"
Monodon monoceros,narwhal,Narwhal
Mycteroperca jordani,Gulf grouper,Gulf Grouper
Mycteroperca microlepis,Gag,Gag
Mycteroperca olfax,Sailfin grouper,Sailfin Grouper
Mycteroperca prionura,Sawtail grouper,Sawtail Grouper
Mycteroperca rosacea,Leopard grouper,Leopard Grouper
Mycteroperca rubra,Mottled grouper,Mottled Grouper
Neophoca cinerea,Australian sea lion,Australian Sea Lion
Odobenus rosmarus,walrus,Walrus
Ommatophoca rossii,ross seal,Ross Seal
Orcaella brevirostris,Irrawaddy dolphin,Irrawaddy Dolphin
Pagrus pagrus,Red porgy,Red Porgy
Peponocephala electra,melon-headed whale,Melon-Headed Whale
Phoca vitulina,Harbour seal,Harbour Seal
Phocarctos hookeri,Hooker's sea lion,Hooker's Sea Lion
Phocoena phocoena,harbour porpoise,Harbour Porpoise
Phocoena sinus,vaquita,Vaquita
Phocoena spinipinnis,Burmeister's porpoise,Burmeister's Porpoise
Phocoenoides dalli,Dall's porpoise,Dall's Porpoise
Pontoporia blainvillei,franciscana,Franciscana
Pseudorca crassidens,false killer whale,False Killer Whale
Scarus guacamaia,Rainbow parrotfish,Rainbow Parrotfish
Scomberomorus concolor,Monterey Spanish mackerel,Monterey Spanish Mackerel
Sousa chinensis,Pacific humpback dolphin,Pacific Humpback Dolphin
Stenella attenuata,Pantropical spotted dolphin,Pantropical Spotted Dolphin
Stenella clymene,Clymene dolphin,Clymene Dolphin
Stenella coeruleoalba,striped dolphin,Striped Dolphin
