Goal,Abbreviation,Description
Food Provision,FP,The sustainable harvest of seafood from wild-caught fisheries and mariculture
Artisanal Fishing Opportunity,AO,"The opportunity for small-scale fishers to supply catch for their families, members of their local communities, or sell in local markets"
Natural Products,NP,The natural resources that are sustainably extracted from living marine resources
Carbon Storage,CS,The condition of coastal habitats that store and sequester atmospheric carbon
Coastal Livelihoods and Economies,LE,Coastal and ocean-dependent livelihoods (job quantity and quality) and economies (revenues) produced by marine sectors
Tourism and Recreation,TR,"The value people have for experiencing and enjoying coastal areas through activities such as sailing, recreational fishing, beach-going, and bird watching"
Sense of Place,SP,"The conservation status of iconic species (e.g., salmon, whales) and geographic locations that contribute to cultural identity"
Clean Waters,CW,"The degree to which ocean regions are free of contaminants such as chemicals, eutrophication, harmful algal blooms, disease pathogens, and trash"
Biodiversity,BD,The conservation status of native marine species and key habitats that serve as a proxy for the suite of species that depend upon them
Coastal Protection,CP,The amount of protection provided by marine and coastal habitats serving as natural buffers against incoming waves
