"targets","layer","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","dir_2015a","fn_2015a","src_2015a","src_2014a","name","description","citation_nature2012","citation_plos2013","fld_value","units","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","derive_function","layer_old","X","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","clip_n_ship_disag_description","uninhabited_expect","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"AO","ao_access","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv",,,,,"not updated","N","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009).

Data sources:

- Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., Worm, B. (2009). **Management Effectiveness of the Worldï¿s Marine Fisheries**. _PLoS Biol_, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](http://dx.doi.org/10.1371/journal.pbio.1000131)","7.04","5.04","value","value","2012a","parent",,,"N",,,"rn_ao_access",,TRUE,"neptune_data:model/GL-NCEAS-Resilience_Mora/whence_2013a","mora_whence.csv","equal","global management effectiveness scores were applied equally to all regions.","NA","ao_access.csv",,"country_id",,,"score",
"AO","ao_need","ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2012a.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2013a.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_rescaled_2014a.csv",,,"need >2013 data not updated","Y: done","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP.

Data sources:

- The World Bank [GDP per capita, PPP (current international $)](http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD)","7.05","5.05","value","value","new","new",,,"U",,,"rny_ao_need",,TRUE,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_gdppcppp_2013a_whence.csv","equal","global purchasing power parity information was applied equally to all regions.","NA","ao_need.csv",,"country_id",,"year","score",
"CW","cw_coastalpopn_trend","ohiprep:globalprep/coastal_population/v2015/data","rgn_popn5yrtrend_inland25mi_2008to2012.csv","ohiprep:globalprep/coastal_population/v2015/data","rgn_popn5yrtrend_inland25mi_2009to2013.csv","ohiprep:globalprep/coastal_population/v2015/data","rgn_popn5yrtrend_inland25mi_2010to2014.csv","ohiprep:globalprep/coastal_population/v2015/data","rgn_popn5yrtrend_inland25mi_2011to2015.csv",,"N","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","6I","5.09","trend","trend score","2012a","new",,,"U",,,"rn_cw_coastalpopn_trend",,TRUE,,,"equal","global trends were applied equally to all regions.","NA",,,,,,,
"CW","cw_fertilizer_trend","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2014a.csv",,,"Y","Y: done","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).","7.19","5.19","trend.score","trend score","new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,,"rn_cw_fertilizer_trend",,TRUE,"ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_fertilizers_trends_2013a.csv","equal","global trends were applied equally to all regions.","NA",,,,,,,
"CW","cw_pathogen_trend","ohiprep:globalprep/whounicef_sanitation/v2015/data","pathogens_popdensity25mi_trend_2012a.csv","ohiprep:globalprep/whounicef_sanitation/v2015/data","pathogens_popdensity25mi_trend_2013a.csv","ohiprep:globalprep/whounicef_sanitation/v2015/data","pathogens_popdensity25mi_trend_2014a.csv","ohiprep:globalprep/whounicef_sanitation/v2015/data","pathogens_popdensity25mi_trend_2015a.csv","Y","Y: done","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities.

Data sources:

- [World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)](http://www.wssinfo.org/data-estimates/table)
",,,"trend","trend score",,,,,,,,"rn_cw_pathogen_trend",,TRUE,,,"equal","global trends were applied equally to all regions.","NA",,,,,,,
"CW","cw_pesticide_trend","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2013a.csv","ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2014a.csv",,,,"Y: done","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticide consumption from the Food and Agricultural Organization (FAO). 

Data sources:

- [FAOâs statistical database FAOSTAT](http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).
","6I","5.58","trend.score","trend score","new","new","use coastpop to gap-fill v2013a and v2012a (NOTE: trend needs to be normalized)",,"U",,,"rn_cw_pesticide_trend",,TRUE,"ohiprep:Global/FAO-CW-Trends_v2011/data","rgn_cw_pesticides_trends_2013a.csv","equal","global trends were applied equally to all regions.","NA",,,,,,,
"ECO",,,,,,"ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdp_2014a.csv",,,,"Y: done",,,,,,,,,,,,,,"gdp",,,"ohiprep:Global/WorldBank-Statistics_v2012/data","rgn_wb_gdp_2014a_attr.csv","(not ingested; see column X)",,,,,,,,,
"FIS","fis_b_bmsy","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_b_bmsy_lyr.csv",,,,"Y: done","B/Bmsy estimates obtained using the catch-MSY method","The ratio of population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013).

Data sources:

- Martell, S., & Froese, R. (2013). **A simple method for estimating MSY from catch and resilience**. _Fish and Fisheries_ 14(4): 504-514. [doi:10.1111/j.1467-2979.2012.00485.x](https://dx/doi/org/10.1111/j.1467-2979.2012.00485.x)
","6A","6A","b_bmsy","B / B_msy",,,,,,,,"fnk_fis_b_bmsy",,TRUE,,,"equal","global b_bmsy information was applied equally to all regions.",,,,,,,,
"FIS","fis_meancatch","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","fnk_fis_meancatch_lyr.csv",,,,"Y: done","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Mean catch-per-taxon values within each FAO major fishing area.

Data sources:

- [FAO Major Fishing Areas](http://www.fao.org/fishery/area/search/en)","6A","6A","mean_catch","metric tons",,,,,,,,"snk_fis_meancatch",,TRUE,,,"equal","global mean catch information was applied equally to all regions.",,,,,,,,
"FIS","fis_proparea_saup2rgn","ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","snk_fis_proparea_saup2rgn_lyr.csv",,,,,"area of each saup/total OHI reporting region","Lookup table of Sea Around Us Project regions to Ocean Health Index region identifiers.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org)
","6A","6A","prop_area","proportion of area",,,,,,,,,,TRUE,,,,,,,,,,,,
