"goal","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Index",72.15,73.15,73.28,73.29,73.31,73.23,73.17,72.9,72.6,72.44,73.2,73.46
"Artisanal opportunities",75.68,76.14,76.3,76.09,75.58,75.1,74.99,74.68,74.85,74.32,76.6,77.18
"Species condition (subgoal)",79.67,79.47,79.26,79.07,78.88,78.66,78.47,78.26,78.06,77.86,77.65,77.65
"Biodiversity",78.52,78.49,78.06,78.24,77.76,77.37,77.11,76.71,76.37,76.32,76.27,76.35
"Habitat (subgoal)",77.37,77.51,76.85,77.41,76.64,76.08,75.75,75.16,74.67,74.79,74.89,75.06
"Coastal protection",80.13,82.55,82.61,82.59,82.44,82.23,81.95,81.71,81.75,81.91,82.35,82.78
"Carbon storage",81.06,81.06,81.05,81.05,81.04,81.03,81.08,81.12,81.11,81.11,81.1,81.1
"Clean water",67.19,67.57,68.37,68.23,68.47,68.79,69.4,69.01,69.34,69.3,69.3,69.98
"Fisheries (subgoal)",55.09,55.71,55.82,55.67,55.24,54.84,54.12,54.44,54.59,54.71,55.17,55.11
"Food provision",51.22,51.77,51.84,51.66,51.24,50.95,50.07,50.36,50.2,50.11,50.3,50.33
"Mariculture (subgoal)",5.74,5.65,5.67,5.71,5.82,5.94,6.05,6.14,6.25,6.4,6.6,6.8
"Iconic species (subgoal)",66.54,67.36,67.42,67.8,67.11,67.14,67.67,65.23,63.15,62.76,62.66,62.56
"Sense of place",59.88,61.07,61.2,62.19,62.06,62.69,63.88,63.42,62.87,62.9,62.76,62.57
"Lasting special places (subgoal)",53.23,54.79,54.99,56.59,57.01,58.23,60.09,61.61,62.59,63.04,62.86,62.58
"Natural products",75.96,76.53,77.05,76.84,77.09,76.63,75.76,74.06,74.04,72.68,77.84,78.64
"Tourism & recreation",78.69,78.84,78.6,78.22,79.79,79.63,79.42,79.8,76.86,77.14,77.47,77.89
