"targets","layer","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"CW","cw_chemical_trend","Trends in chemical pollution","Trends in modeled chemical pollution from commercial shipping traffic, ports and harbors, and land-based organic and inorganic inputs (Halpern et al., 2015, Spatial and temporal changes in cumulative human impacts on the world's ocean, http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","trend","trend score","../ohiprep/Antarctica/AQ_CW_chem_pressure/data/cw_chem_trend_v2015.csv",TRUE,"cw_chemical_trend.csv","antarctica2015/layers/cw_chemical_trend.csv"
"CW","cw_pathogen_trend","Trends in global CCAMLR populations","Trends in CCAMLR population is used as a proxy for trends in pathogens","trend","trend score","../ohiprep/Antarctica/AQ_CW_pressure_pathogen/data/cw_pathogen_trend.csv",TRUE,"cw_pathogen_trend.csv","antarctica2015/layers/cw_pathogen_trend.csv"
"CW","cw_trash_trend","Trends in global population","Trends in global population is used as a proxy for trends in marine plastics trash pollution (UN, 2015, http://esa.un.org/unpd/wpp/Download/Standard/Population/)","trend","trend score","../ohiprep/Antarctica/AQ_CW_chem_pressure/data/cw_trash_trend_v2015.csv",TRUE,"cw_trash_trend.csv","antarctica2015/layers/cw_trash_trend.csv"
"ECO","eco","Crew data","Crew data for tourist (see tourism and recreation goal) and fishing vessels (CCAMLR, 2015, compliance: vessel licensing, https://www.ccamlr.org/en/compliance/licensed-vessels)","crew","crew","../ohiprep/Antarctica/AQ_ECO/v2015/data/ECOdata.csv",TRUE,"eco.csv","antarctica2015/layers/eco.csv"
"FIS NP","fis_catch","Catch data","CCAMLR catch data for each species/year/region (CCAMLR Statistical Bulletin Vol. 27, 2015, https://www.ccamlr.org/en/document/data/ccamlr-statistical-bulletin-vol-27)","catch","metric tons","../ohiprep/Antarctica/AQ_FIS/v2015/data/fis_catch.csv",TRUE,"fis_catch.csv","antarctica2015/layers/fis_catch.csv"
"FIS NP","fis_reference","CCAMLR catch limits","CCAMLR catch limits (CCAMLR Fishery Reports, 2014, https://www.ccamlr.org/en/publications/fishery-reports-2014)","reference","metric tons","../ohiprep/Antarctica/AQ_FIS/v2015/data/fis_reference.csv",TRUE,"fis_reference.csv","antarctica2015/layers/fis_reference.csv"
"HAB","hab_extent","Habitat extent","Sea ice extent (Cavalieri et al., 1996, accessed 2016, https://doi.org/10.5067/8GQ8LZQVL0VL)","km2","km^2","../ohiprep/Antarctica/AQ_SeaIce/old/data/hab_habitat_extent_2013.csv",TRUE,"hab_extent.csv","antarctica2015/layers/hab_extent.csv"
"HAB","hab_sea_ice","Sea ice season days","Length of sea ice season (days)","days","days","../ohiprep/Antarctica/AQ_SeaIce/v2015/data/hab_sea_ice_season_days.csv",TRUE,"hab_sea_ice.csv","antarctica2015/layers/hab_sea_ice.csv"
"ICO","ico_status","Iconic species status","Iconic species of Antarctica and IUCN threat status.  List of Iconic species is from OHI global assessment (Halpern et al. 2015); status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)","category","iucn status","../ohiprep/Antarctica/AQ_ICO/data/ico_status.csv",TRUE,"ico_status.csv","antarctica2015/layers/ico_status.csv"
"ICO","ico_trend","Iconic species trend","Iconic species of Antarctica and IUCN trend status.  List of Iconic species is from OHI global assessment (Halpern et al. 2015); status is from IUCN (IUCN, 2015, http://www.iucnredlist.org); and spatial information is from IUCN and Aquamaps range maps (IUCN, 2015, http://www.iucnredlist.org; Kaschner et al., 2015, www.aquamaps.org)","popn_trend","iucn trend","../ohiprep/Antarctica/AQ_ICO/data/ico_trend.csv",TRUE,"ico_trend.csv","antarctica2015/layers/ico_trend.csv"
