scenario,goal,long_goal,dimension,region_id,region_name,value,p.value
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,0,Global average,0.18849999999999859,3.041687438143774e-7
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,1,Cocos Islands,0.14666666666666495,7.857959727288833e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,2,Christmas Island,0.14666666666666495,7.857959727288833e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,3,Norfolk Island,0.14666666666666495,7.857959727288833e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,5,New Caledonia,0.2116666666666676,1.1332007809610298e-4
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,6,Vanuatu,-0.00466666666666633,0.7492215510037457
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,7,Solomon Islands,0.0403333333333324,0.0018745763031695296
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,8,Palau,0.3814999999999971,0.019290046793943222
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,9,Micronesia,0.009499999999998345,0.7495563420615368
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,10,Nauru,0.2650000000000006,0.24676917282405586
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,11,Marshall Islands,0.020666666666666698,0.20947427225406484
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,13,Northern Mariana Islands and Guam,0.0725000000000006,0.059071935350870644
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,14,Taiwan,0.6814999999999963,5.927359694587102e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,15,Philippines,0.3716666666666682,5.0889192856618324e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,16,Australia,0.12149999999999914,1.26564889504933e-7
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,17,Papua New Guinea,0.15833333333333308,0.005209214525430252
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,18,Fiji,0.7020000000000008,2.550928893671848e-6
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,19,Tuvalu,0.17466666666666394,3.045935022354088e-4
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,20,South Korea,0.23933333333333756,1.2539252332654532e-10
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,21,North Korea,0.8155000000000028,1.406701500341964e-8
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,24,Cambodia,0.21933333333333463,1.4424366066181812e-4
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,25,Thailand,0.3333333333333323,1.2140814283216783e-4
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,26,Andaman and Nicobar,0.3029999999999987,8.288149657833316e-7
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,28,Comoro Islands,0.11533333333333323,6.48281992185084e-5
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,29,Mayotte,0.30900000000000266,2.743766526524349e-8
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,31,Seychelles,0.9198333333333334,1.2653645843170496e-7
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,32,R_union,0.28400000000000136,1.1390183274135974e-9
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,37,Mauritius,0.8315000000000011,7.106197966680988e-10
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,38,British Indian Ocean Territory,0.2678333333333303,2.4801112351214058e-5
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,39,Maldives,0.3471666666666657,2.743166440892889e-4
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,40,Sri Lanka,0.4143333333333328,1.2255046948394535e-5
2012-2020,AO,Artisanal opportunities,average_yearly_change_in_scores,41,Mozambique,-0.021166666666666355,0.0699506257569429
