"country","LSP"
"Prince Edward Islands",100
"Howland Island and Baker Island",100
"Macquarie Island",100
"Heard and McDonald Islands",100
"Phoenix Group",100
"Northern Saint-Martin",100
"Glorioso Islands",100
"Jarvis Island",100
"Australia",100
"Palmyra Atoll",100
"Germany",100
"Norfolk Island",100
"British Indian Ocean Territory",100
"Mayotte",100
"Estonia",100
"South Georgia and the South Sandwich Islands",100
"Johnston Atoll",100
"Italy",100
"Palau",100
"Croatia",100
"Jan Mayen",100
"Denmark",100
"Netherlands",100
"Gibraltar",100
"Tristan da Cunha",100
"Greenland",100
"United Kingdom",100
"Latvia",100
"Belgium",100
"Wake Island",100
"Ecuador",100
"France",100
"Portugal",100
"Tanzania",100
"Dominican Republic",100
"Mexico",100
"French Guiana",100
"Brazil",100
"Argentina",100
"Ireland",100
"Bulgaria",100
"Guadeloupe and Martinique",100
"Honduras",100
"Namibia",100
"Belize",100
"Slovenia",100
"Poland",100
"Lithuania",100
"Mauritania",100
"Suriname",100
"Romania",100
"Vietnam",100
"El Salvador",100
"Jamaica",100
"Senegal",100
"Guinea Bissau",100
"Nicaragua",100
"Republique du Congo",99
"New Caledonia",98
"Malta",98
"Sweden",98
"Canary Islands",97
"Finland",97
"Guatemala",97
"Norway",96
"South Africa",96
"Spain",96
"Chile",94
"Egypt",94
"Puerto Rico and Virgin Islands of the United States",94
"Mozambique",93
"United Arab Emirates",91
"Japan",90
"Madeira",88
"Western Sahara",88
"Russia",88
"Colombia",88
"Antigua and Barbuda",87
"Cuba",86
"Venezuela",86
"Guinea",86
"Costa Rica",85
"Equatorial Guinea",82
"Azores",81
"American Samoa",79
"Gabon",79
"United States",78
"Bangladesh",77
"Democratic Republic of the Congo",76
"Ukraine",74
"Fiji",73
"Greece",73
"New Zealand",71
"Indonesia",71
"Panama",71
"Thailand",69
"Seychelles",67
"Peru",67
"Pakistan",67
"Turks and Caicos Islands",65
"Saba",64
"Iran",64
"Morocco",63
"Gambia",61
"Curacao",60
"Monaco",60
"Cambodia",59
"East Timor",58
"Saint Helena",57
"Pitcairn",56
"Christmas Island",56
"Northern Mariana Islands and Guam",56
"Cameroon",54
"Kuwait",51
"South Korea",49
"Bosnia and Herzegovina",47
"Jersey",46
"Philippines",45
"Trinidad and Tobago",44
"Bermuda",43
"R_union",42
"Oecussi Ambeno",42
"Uruguay",42
"Ivory Coast",40
"Yemen",39
"Iceland",39
"Kenya",38
"Brunei",38
"Sint Maarten",36
"India",36
"Guyana",36
"Marshall Islands",35
"Cayman Islands",34
"Nigeria",34
"Cyprus",33
"Saint Vincent and the Grenadines",32
"Ascension",31
"Angola",31
"Bonaire",28
"Saint Pierre and Miquelon",27
"Georgia",27
"Saudi Arabia",26
"Canada",25
"Madagascar",25
"Sri Lanka",25
"China",24
"Andaman and Nicobar",21
"Oman",20
"Albania",18
"Solomon Islands",17
"Malaysia",17
"Mauritius",15
"Taiwan",15
"Saint Lucia",15
"Myanmar",15
"Papua New Guinea",12
"Faeroe Islands",12
"Israel",8
"Turkey",8
"Algeria",8
"Tuvalu",6
"Lebanon",6
"Micronesia",5
"British Virgin Islands",5
"Haiti",4
"Bahamas",3
"Maldives",3
"Tonga",3
"Sierra Leone",3
"Ghana",2
"Vanuatu",1
"Samoa",1
"Tunisia",1
"Singapore",1
"Montenegro",1
"Barbados",1
"Dominica",1
"French Polynesia",0
"Wallis and Futuna",0
"Cocos Islands",0
"Kiribati",0
"Crozet Islands",0
"Kerguelen Islands",0
"Qatar",0
"Tokelau",0
"Aruba",0
"Cape Verde",0
"Nauru",0
"Djibouti",0
"Line Group",0
"Sint Eustatius",0
"Juan de Nova Island",0
"Ile Tromelin",0
"Clipperton Island",0
"Montserrat",0
"Niue",0
"Togo",0
"Cook Islands",0
"Bassas da India",0
"Ile Europa",0
"Falkland Islands",0
"Anguilla",0
"Comoro Islands",0
"Saint Kitts and Nevis",0
"Eritrea",0
"Bouvet Island",0
"Bahrain",0
"Benin",0
"Jordan",0
"Sudan",0
"Iraq",0
"Somalia",0
"Grenada",0
"Guernsey",0
"Amsterdam Island and Saint Paul Island",0
"Syria",0
"Sao Tome and Principe",0
"North Korea",0
"Liberia",0
"Libya",0
