"rgn_id","sciname","iucn_sid","year","eval_yr","category"
1,"Balaenoptera musculus",2477,2018,2008,"EN"
1,"Cheilinus undulatus",4592,2018,2004,"EN"
1,"Chelonia mydas",4615,2018,2004,"EN"
1,"Megaptera novaeangliae",13006,2018,2008,"LC"
1,"Steno bredanensis",20738,2018,2012,"LC"
1,"Triaenodon obesus",39384,2018,2009,"NT"
1,"Balaenoptera musculus",2477,2017,2008,"EN"
1,"Cheilinus undulatus",4592,2017,2004,"EN"
1,"Chelonia mydas",4615,2017,2004,"EN"
1,"Megaptera novaeangliae",13006,2017,2008,"LC"
1,"Steno bredanensis",20738,2017,2012,"LC"
1,"Triaenodon obesus",39384,2017,2009,"NT"
1,"Balaenoptera musculus",2477,2016,2008,"EN"
1,"Cheilinus undulatus",4592,2016,2004,"EN"
1,"Chelonia mydas",4615,2016,2004,"EN"
1,"Megaptera novaeangliae",13006,2016,2008,"LC"
1,"Steno bredanensis",20738,2016,2012,"LC"
1,"Triaenodon obesus",39384,2016,2009,"NT"
1,"Balaenoptera musculus",2477,2015,2008,"EN"
1,"Cheilinus undulatus",4592,2015,2004,"EN"
1,"Chelonia mydas",4615,2015,2004,"EN"
1,"Megaptera novaeangliae",13006,2015,2008,"LC"
1,"Steno bredanensis",20738,2015,2012,"LC"
1,"Triaenodon obesus",39384,2015,2009,"NT"
1,"Balaenoptera musculus",2477,2014,2008,"EN"
1,"Cheilinus undulatus",4592,2014,2004,"EN"
1,"Chelonia mydas",4615,2014,2004,"EN"
1,"Megaptera novaeangliae",13006,2014,2008,"LC"
1,"Steno bredanensis",20738,2014,2012,"LC"
1,"Triaenodon obesus",39384,2014,2009,"NT"
1,"Balaenoptera musculus",2477,2013,2008,"EN"
1,"Cheilinus undulatus",4592,2013,2004,"EN"
1,"Chelonia mydas",4615,2013,2004,"EN"
1,"Megaptera novaeangliae",13006,2013,2008,"LC"
1,"Steno bredanensis",20738,2013,2012,"LC"
1,"Triaenodon obesus",39384,2013,2009,"NT"
1,"Balaenoptera musculus",2477,2012,2008,"EN"
1,"Cheilinus undulatus",4592,2012,2004,"EN"
1,"Chelonia mydas",4615,2012,2004,"EN"
1,"Megaptera novaeangliae",13006,2012,2008,"LC"
1,"Steno bredanensis",20738,2012,2012,"LC"
1,"Triaenodon obesus",39384,2012,2009,"NT"
1,"Balaenoptera musculus",2477,2011,2008,"EN"
1,"Cheilinus undulatus",4592,2011,2004,"EN"
1,"Chelonia mydas",4615,2011,2004,"EN"
1,"Megaptera novaeangliae",13006,2011,2008,"LC"
1,"Steno bredanensis",20738,2011,2008,"LC"
1,"Triaenodon obesus",39384,2011,2009,"NT"
1,"Balaenoptera musculus",2477,2010,2008,"EN"
1,"Cheilinus undulatus",4592,2010,2004,"EN"
1,"Chelonia mydas",4615,2010,2004,"EN"
1,"Megaptera novaeangliae",13006,2010,2008,"LC"
1,"Steno bredanensis",20738,2010,2008,"LC"
1,"Triaenodon obesus",39384,2010,2009,"NT"
1,"Balaenoptera musculus",2477,2009,2008,"EN"
1,"Cheilinus undulatus",4592,2009,2004,"EN"
1,"Chelonia mydas",4615,2009,2004,"EN"
1,"Megaptera novaeangliae",13006,2009,2008,"LC"
1,"Steno bredanensis",20738,2009,2008,"LC"
1,"Triaenodon obesus",39384,2009,2009,"NT"
1,"Balaenoptera musculus",2477,2008,2008,"EN"
1,"Cheilinus undulatus",4592,2008,2004,"EN"
1,"Chelonia mydas",4615,2008,2004,"EN"
1,"Megaptera novaeangliae",13006,2008,2008,"LC"
1,"Steno bredanensis",20738,2008,2008,"LC"
1,"Triaenodon obesus",39384,2008,2000,"NT"
1,"Balaenoptera musculus",2477,2007,1996,"EN"
1,"Cheilinus undulatus",4592,2007,2004,"EN"
1,"Chelonia mydas",4615,2007,2004,"EN"
1,"Megaptera novaeangliae",13006,2007,1996,"VU"
1,"Steno bredanensis",20738,2007,NA,"LC"
1,"Triaenodon obesus",39384,2007,2000,"NT"
1,"Balaenoptera musculus",2477,2006,1996,"EN"
1,"Cheilinus undulatus",4592,2006,2004,"EN"
1,"Chelonia mydas",4615,2006,2004,"EN"
1,"Megaptera novaeangliae",13006,2006,1996,"VU"
