component_id,radical_include,component_label,component_name,goal,dimension,scenario,region_id,value,units,url,source,extra
cw_coastalpopn_trend,yes,Coastal Population Trend,Coastal human population as a proxy for trend in trash,CW,trend,2015,,,,,"CIESIN & CIAT (Center for International Earth Science Information Network / Columbia University, & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates."
cw_fertilizer_trend,yes,Fertilizer Trend,Trends in fertilizer pollution as a proxy for nutrient pollution,CW,trend,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E)Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)",Modeled data based on fertilizer consumption from the Food and Agricultural Organization (FAO; Halpern et al. 2015). 
cw_pathogen_trend,yes,Access to Sanitation,Trends in access to improved sanitation as a proxy for pathogen pollution trend,CW,trend,2015,,,,,World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)(http://www.wssinfo.org/data-estimates/table),Trends in percent of population without access to improved sanitation facilities.
cw_pesticide_trend,yes,Chemical Pollution Trend,Trends in chemical pollution,CW,trend,2015,,,,,"FAO's statistical database, FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E)Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use (Halpern et al. 2015)."
po_chemicals,yes,Chemical Pollution,Chemical pollution,CW,status,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. NatureCommunications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use (Halpern et al. 2015)."
po_nutrients,yes,Nutrient Pollution,Fertilizer pollution as a proxy for nutrient pollution,CW,status,2015,,,,,"FAO's statistical database FAOSTAT (http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E).Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. NatureCommunications 6(7615). [doi: 10.1038/ncomms8615](http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html)","Modeled data based on fertilizer consumption from the Food and Agricultural Organization (FAO, Halpern et al. 2015). "
po_pathogens,yes,Pathogen Pollution,Access to improved sanitation as a proxy for pathogen pollution,CW,status,2015,,,,,"World Health Organization and United Nations Children's Fund's Joint Monitoring Programme, WHO/UNICEF's JMP (http://www.wssinfo.org/data-estimates/table)",Population without access to improved sanitation facilities.
po_trash,yes,Trash Pollution,Trash pollution,CW,status,2015,,,,,"Eriksen M., Lebreton, L. C. M., Carson, H. S., Thiel, M., Moore, C. J. and Borerro, J. C.  (2014).  Plastic pollution in the world's oceans: more than 5 trillion plastic pieces weighing over 250,000 tons afloat at sea. PLoS ONE 9:e111913. [doi:10.1371/journal.pone.0111913]. J. Afflerbach et al. (2015). [Methods](https://github.com/OHI Science/ohiprep/tree/master/globalprep/CW_pressure_trash) ",Global marine plastics (Eriksen et al. 2014).
le_popn,no,,Total population by subregion,ECO,status,2015,,,number of people,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Population data from The World Bank
liveco_status,no,,Modeled livelihoods and economies status,ECO,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Modeled livelihoods and economies status based on new approach
liveco_trend,no,,Modeled livelihoods and economies trend,ECO,trend,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Modeled livelihoods and economies trend based on new approach
fis_b_bmsy,no,,B/Bmsy estimates obtained using the catch-MSY method,FIS,status,2015,,,B / B_msy,,"Martell, S., & Froese, R. (2013). A simple method for estimating MSY from catch and resilience. Fish and Fisheries 14(4): 504-514. [doi:10.1111/j.1467-2979.2012.00485.x](https://dx/doi/org/10.1111/j.1467-2979.2012.00485.x)","The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield, obtained from the catch-MSY model (Martell & Froese, 2013)."
fis_meancatch,no,,Catch data for each Taxon/FAO/SAU region averaged across years,FIS,status,2015,,,metric tons,,Sea Around Us Project (SAUP) (http://www.seaaroundus.org),Mean catch-per-taxon values within each Sea Around Us/FAO fishing area.
fis_proparea_saup2rgn,no,SAUP Area Proportion,proportion area of each SAUP within each OHI reporting region,FIS,status,2015,,,,,Sea Around Us Project (SAUP) (http://www.seaaroundus.org),Lookup table of Sea Around Us Project regions to Ocean Health Index region identifiers.
fp_wildcaught_weight,yes,Food Provision Weighting ,Fisheries weighting factor,FP,status,2015,,,,,"FAO fisheries statistics (http://www.fao.org/fishery/statistics/global-capture-production/en)Sea Around Us Project (SAUP) (http://www.seaaroundus.org)","Proportion of wild caught fisheries yield to mariculture yield, based on FAO fisheries statistics.n)"
hab_extent,yes,Habitat Extent,Habitat extent,HAB,status,2015,,,km^2,,"Hamilton S and D Casey. 2014. Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Centry (CGMFC-21): a big-data fusion approach. arXiv:1412.0722. (http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf).Bridgham, S. D., Megonigal,  J. P., Keller, J. K., et al. (2006). The carbon balance of North American wetlands. Wetlands 26: 889-916.Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.Ministry for the Environment (2007). Environment New Zealand (http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf).Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats (http://jncc.defra.gov.uk/page-1433). European Environment Agency (2008). Cavalieri, D. J., Parkinson, C. L., Gloersen, P. and Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center (http://dx.doi.org/10.5067/8GQ8LZQVL0VL).UNEP-WCMC (2005). Global distribution of seagrasses - points dataset.Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345).Burke, L., Reytar, K., Spalding, M.,  et al. (2011). Reefs at risk revisited. World Resources Institute, Washington, DC.",Habitat extent
hab_health,yes,Habitat Health,Habitat health,HAB,status,2015,,,,,"FAO (2007). The world's mangroves 1980-2005. FAO Forestry Paper 153.Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American wetlands. Wetlands 26: 889-916.Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.Ministry for the Environment (2007). Environment New Zealand (http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf).Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats (http://jncc.defra.gov.uk/page-1433). European Environment Agency (2008). Cavalieri, D. J., Parkinson, C. L., Gloersen, P. and Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center (http://dx.doi.org/10.5067/8GQ8LZQVL0VL).Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009), Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.Bruno, J. F. & Selig, E. R. (2007) Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 115Ð122. ",Habitat health/condition
hab_trend,yes,Habitat Trend,Habitat health trend,HAB,trend,2015,,,,,"Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [arXiv:1412.0722](http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf).Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American wetlands. Wetlands 26: 889-916.Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.Ministry for the Environment (2007). Environment New Zealand (http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf).Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats (http://jncc.defra.gov.uk/page-1433). European Environment Agency (2008). Cavalieri, D. J., Parkinson, C. L., Gloersen, P. and Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center (http://dx.doi.org/10.5067/8GQ8LZQVL0VL).Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.Bruno, J. F. & Selig, E. R. (2007) Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.Schutte, V. G. W., Selig, E.R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 115Ð122.",Habitat health trend
ico_spp_extinction_status,no,,IUCN extinction risk category for iconic species,ICO,status,2015,,,IUCN extinction category,,International Union for Conservation of Nature (IUCN) (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme).,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists
ico_spp_popn_trend,no,,IUCN population trend as a proxy for iconic species trend,ICO,trend,2015,,,IUCN extinction trend,,International Union for Conservation of Nature (IUCN) (http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme).,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists
le_gdp,no,,GDP,LE,status,2015,,,2010 USD,,The World Bank (data.worldbank.org/indicator/NY.GDP.MKTP.CD).,Gross Domestic Product (GDP) data (reported in 2012 US dollars) from The World Bank.
le_gdp_pc_ppp,no,,Modeled Livelihoods & Economies data,LE,status,2015,,,USD,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",gross domestic product per person at purchasing power parity
le_jobs_cur_adj_value,no,Jobs Current Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_jobs_cur_base_value,no,Jobs Current Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_jobs_ref_adj_value,no,Jobs Reference Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_jobs_ref_base_value,no,Jobs Reference Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_jobs_sector_year,no,,Jobs,LE,status,2015,,,number of jobs,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",gapfilled
le_rev_cur_adj_value,no,Revenue Current Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_rev_cur_base_value,no,Revenue Current Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_rev_ref_adj_value,no,Revenue Reference Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_rev_ref_base_value,no,Revenue Reference Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_rev_sector_year,no,,Revenue,LE,status,2015,,,2010 USD,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",gapfilled
le_revenue_adj,no,,Modeled Livelihoods & Economies data,LE,status,2015,,,USD,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",adjusted revenue
le_sector_weight,no,Jobs Weighting,Jobs weighting,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",Jobs weighting by sector (defaulting to 1)
le_unemployment,no,,Unemployment,LE,status,2015,,,percent,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",gapfilled
le_wage_cur_adj_value,no,Wage Current Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_wage_cur_base_value,no,Wage Current Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_wage_ref_adj_value,no,Wage Reference Adjusted Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
le_wage_ref_base_value,no,Wage Reference Base Value,Modeled Livelihoods & Economies data,LE,status,2015,,,,,"Halpern, B. S., Longo, C., Hardy, D., et al. (2012). An index to assess the health and benefits of the global ocean. Nature (doi:10.1038/nature11397).",One of current or reference and base or adjusted value
