targets,layer,name,description,fld_value,units,dir_2014a,fn_2014a,dir_2015a,fn_2015a,ingest
CW,cw_chemical_trend,Pesticide consumption as a proxy for trend in chemical pollution,shipping as a proxy for oil pollution: trend assumed to be zero based on 0 shipping,trend,trend score,ohiprep:Antarctica/AQ-CleanWaters_v2014/data,cw_chem_trend.csv,,,T
CW,cw_trash_trend,Coastal human population as a proxy for trend in trash,trash: trend assumed to be zero based on trash near 0,trend,trend score,ohiprep:Antarctica/AQ-CleanWaters_v2014/data,cw_trash_trend.csv,,,T
FIS,fis_meancatch,mean catch,Catch data for each Taxon/CCAMLR region averaged across years (1980-2011),mean_catch,metric tons,ohiprep:Antarctica/AQ_FIS_v2014/data,cnk_fis_meancatch.csv,,,T
FIS,fis_b_bmsy,b/bmsy scores,B/Bmsy estimates obtained using the catch-MSY method,b_bmsy,B / B_msy,ohiprep:Antarctica/AQ_FIS_v2014/data,fnk_fis_b_bmsy.csv,,,T
FIS,fis_c_cmsy,c/cmsy scores,C/Cmsy estimates,c_cmsy,C / C_msy,ohiprep:Antarctica/AQ_FIS_v2014/data,fnk_fis_ccmsy.csv,,,T
HAB CS CP,hab_extent,Habitat extent,Modeled combined habitat extent (sea ice extent and shoreline),km2,km^2,neptune_data:model/GL-AQ-SeaIce_v2014/data,hab_habitat_extent_2013.csv,,,T
HAB CS CP,hab_health,Habitat health,Modeled combined habitat health condition trend (sea ice extent and shoreline),health,value,neptune_data:model/GL-AQ-SeaIce_v2014/data,hab_habitat_health_2013.csv,,,T
HAB CS CP,hab_trend,Habitat health trend,Modeled combined habitat health trend (sea ice extent and shoreline),trend,trend score,neptune_data:model/GL-AQ-SeaIce_v2014/data,hab_habitat_trend_2013.csv,,,T
ICO,ico_status,Species lists and IUCN threat categories as a proxy for species richness status/trend,"Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species",score,status score,ohiprep:Global/HS-AQ-Iconics_2014/data,rgn_ico_score_2014_AQ.csv,,,T
ICO,ico_trend,Species lists and IUCN threat categories as a proxy for species richness status/trend,"Calculated using methods/data of SPP analysis, but with a subset of taxa determined to be iconic species",score,trend score,ohiprep:Global/HS-AQ-Iconics_2014/data,rgn_ico_trend_2014_AQ.csv,,,T
ECO,eco,crew data for tourism and fisheries,,crew,crew,ohiprep:Antarctica/AQ_ECO_v2014/data,ECOdata.csv,,,T
LSP,lsp_prot_area_status,Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km,"Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions",status,status,ohiprep:Antarctica/AQ-LSP_v2014/data,status.csv,,,T
LSP,lsp_prot_area_trend,Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km,"Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions",trend,trend,ohiprep:Antarctica/AQ-LSP_v2014/data,trend.csv,,,T
NP,np_status,Status of krill fisheries (calculated using fisheries method),Calculated using c_cmsy scores and catch data for Euphausia superba,status,value,ohiprep:Antarctica/AQ-NaturalProducts_v2014/data,np_status.csv,,,T
NP,np_trend,Trend of krill fisheries (calculated using fisheries method),Calculated using c_cmsy scores and catch data for Euphausia superba,trend,value,ohiprep:Antarctica/AQ-NaturalProducts_v2014/data,np_trend.csv,,,T
pressures,cc_acid,Ocean acidification,Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,cc_acid_2013_AQ.csv,,,T
pressures,cc_slr,Sea level rise,Modeled sea level rise after Halpern et al. 2008,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,cc_slr_2013_AQ.csv,,,T
pressures,cc_sst,Sea surface temperature (SST) anomalies,Modeled sea level rise after Halpern et al. 2008,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,cc_sst_2013_AQ.csv,,,T
pressures,fp_com_hb,High bycatch caused by commercial fishing ,Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008),pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,fp_com_hb_2013_AQ.csv,,,T
pressures,fp_com_lb,Low bycatch caused by commercial fishing ,Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008),pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,fp_com_lb_2013_AQ.csv,,,T
pressures,sp_alien,Alien species,The number and type of invasive and harmful invasive species in each marine ecoregion,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,sp_alien_2013_AQ.csv,,,T
pressures CW,po_chemicals,Ocean-based chemical pollution (shipping),Ocean-based chemical pollution from commercial shipping traffic,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,po_chemicals_2013_AQ.csv,,,T
pressures CW,po_trash,Trash pollution,Density of trash from coastal land and sea,pressure_score,pressure score,ohiprep:Global/HS_AQ_Pressures_2014/data,po_trash_2013_AQ.csv,,,T
regions,rgn_labels,CCAMLR regions to sp_id,Translate between different label types,sp_id,sp_id,ohiprep:Antarctica/Other_v2014,ccamlr2sp_id.csv,,,T
regions,rgn_global,"regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ",label,label,ohiprep:Antarctica/Other_v2014,rgn_labels_ccamlr_lyr.csv,,,T
regions,rgn_area,"regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label",area_km2,km^2,ohiprep:Antarctica/Other_v2014,rgn_area_ccamlr_eez_lyr.csv,,,T
resilience,rfmo,,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,rfmo_AQ.csv,,,T
resilience,UNFCCC_Kyoto, ,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,UNFCCC_Kyoto_AQ.csv,,,T
resilience,UNEP_gap_report,,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,UNEP_gap_report_AQ.csv,,,T
resilience,Marpol_aliens,,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,Marpol_aliens_AQ.csv,,,T
resilience,Marpol_poll,,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,Marpol_poll_AQ.csv,,,T
resilience,MPAs,,,resilience score,resilience score,neptune_data:model/GL-HS-AQ-Resilience/data,MPAs_AQ.csv,,,T
SPP,spp_status,Species lists and IUCN threat categories as a proxy for species richness status/trend,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ,score,status score,ohiprep:Global/HS-AQ-SpeciesRichness_v2014/data,rgn_spp_score_2013_AQ.csv,,,T
SPP,spp_trend,Species lists and IUCN threat categories as a proxy for species richness status/trend,International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ,score,trend score,ohiprep:Global/HS-AQ-SpeciesRichness_v2014/data,rgn_spp_trend_2013_AQ.csv,,,T
TR,tr_status,Modeled tourism status,Modeled tourism status with updated approach,status,status score,ohiprep:Antarctica/GL-AQ-Tourism_v2014/data,TR_status.csv,,,T
TR,tr_trend,Modeled tourism trend,Modeled tourism trend with updated approach,trend,trend score,ohiprep:Antarctica/GL-AQ-Tourism_v2014/data,TR_trend.csv,,,T
pressures LE,le_sector_weight,Jobs weighting,Jobs weighting by sector (defaulting to 1),weight,value,ohiprep:Antarctica/Other_v2014,LIV_sector_weights.csv,,,T
pressures HAB,hab_presence,Habitat presence,Modeled combined habitat presence,weight,boolean,ohiprep:Antarctica/Other_v2014,hab_presence.csv,,,T
